Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,10U,
C3,1206,1,1U,
"D1, D2, D3, D4, D5, D7",D_SMA,6,1N4001,
D6,0805,1,RED,
D8,0805,1,YELLOW,
"H1, H10, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_4.3mm_M4_DIN965_Pad,10,MountingHole_Pad,
"J1, J2, J3, J4, J5",JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,5,Conn_01x02_Male,
"J6, J7, J8",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02_Pin,
"K1, K2, K3, K4, K6",Relay_SPST_Omron-G5Q-1A,5,G5Q-1,
"L1, L2, L4, L5",Abracon 4125C Air Core Inductor 538nH,4,0.5u,
L3,Abracon 4125C Air Core Inductor 538nH,1,538n,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23_Handsoldering,6,2SC1945,
"R1, R2, R4, R5",4020,4,6.8R,
"R10, R12, R6, R7, R8, R9",0603,6,1K,
R11,0603,1,360R,
R13,0603,1,30K,
R14,0603,1,10K,
R15,0603,1,3300R,
R3,4020,1,7.5R,
