Designator,Mid X,Mid Y,Rotation,Layer
C1,147.0,-71.8375,270.0,bottom
C2,186.9,-71.9375,270.0,bottom
C3,145.7,-54.3625,90.0,bottom
D1,141.959259,-61.245,90.0,bottom
D2,161.677777,-61.2,90.0,bottom
D3,181.396295,-61.2,90.0,bottom
D4,201.114813,-61.2,90.0,bottom
D5,220.833338,-61.2,90.0,bottom
D6,150.125,-42.9,180.0,top
D7,140.0,-54.9,180.0,bottom
D8,145.925,-42.9,0.0,top
J1,146.2425,-92.7,0.0,top
J2,126.7425,-92.7,0.0,top
J3,206.2425,-92.7,0.0,top
J4,166.2425,-92.7,0.0,top
J5,186.2425,-92.7,0.0,top
J6,126.1,-66.25,0.0,top
J7,126.1,-73.15,0.0,top
J8,126.1,-80.1,0.0,top
K1,154.55,-67.825,270.0,top
K2,174.3,-67.825,270.0,top
K3,194.05,-67.825,270.0,top
K4,213.8,-67.825,270.0,top
K6,134.8,-67.825,270.0,top
L1,154.0,-57.75,90.0,top
L2,129.4,-57.9,0.0,top
L3,216.6,-57.9,0.0,top
L4,176.3,-57.9,0.0,top
L5,196.8,-57.75,90.0,top
Q1,139.2,-74.5,180.0,bottom
Q2,159.3,-74.5,180.0,bottom
Q3,179.4,-74.5,180.0,bottom
Q4,199.5,-74.5,180.0,bottom
Q5,219.6,-74.5,180.0,bottom
Q6,126.1,-51.9,270.0,bottom
R1,151.818518,-60.6,0.0,bottom
R10,210.4,-75.9,270.0,bottom
R11,150.325,-46.6,0.0,bottom
R12,130.134342,-52.8,0.0,bottom
R13,130.134342,-46.412195,180.0,bottom
R14,130.134342,-49.452975,180.0,bottom
R15,145.8,-50.5,0.0,bottom
R2,132.1,-60.6,0.0,bottom
R3,210.974072,-60.6,0.0,bottom
R4,171.537036,-60.6,0.0,bottom
R5,191.255554,-60.6,0.0,bottom
R6,131.7,-75.9,270.0,bottom
R7,151.375,-75.9,270.0,bottom
R8,171.05,-75.9,270.0,bottom
R9,190.725,-75.9,270.0,bottom
