Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C8",CP_Radial_D6.3mm_P2.50mm,3,220u,
"C10, C12, C16, C17, C19, C20, C23, C24, C25, C26, C27",0805,11,0.01u,
"C11, C9",0805,2,2.2u 25V,
"C13, C15, C18, C2, C21, C22, C30, C5, C6, C7",1206,10,10u,
C28,0805,1,1n C0G,
C29,0805,1,22n C0G,
"C3, C4",0805,2,2.2n C0G 50V,
"D1, D3",0805,2,BLUE,
"D2, D4",0805,2,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
"J10, J21, J22, J5, J7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,5,Conn_01x02_Male,
"J11, J12, J13, J15, J17, J18, J19, J23, J3, J8, J9",PinHeader_1x02_P2.54mm_Vertical,11,Conn_01x02_Pin,
J14,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J16, J20",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Pin,
J2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,CHANSEL,
"R1, R15, R18, R8",0603,4,75R,
"R10, R11, R12, R9",0603,4,22R,
"R13, R14, R16",0603,3,47K,
R17,0603,1,3K,
"R19, R2",0603,2,330R,
"R3, R4",0603,2,470R,
"R5, R6, R7",0603,3,4.7K,
"T1, T2",DA101C,2,DA101C,
"TP1, TP2, TP3, TP4",TestPoint_Pad_2.0x2.0mm,4,TestPoint,
U1,SOT-223-3_TabPin2,1,ZLDO1117QG33TA,
U2,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCM5142PWR,
U3,TSSOP-28_4.4x9.7mm_P0.65mm,1,CS8416-xZZ,
X1,Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm,1,DFA-S3,
