Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,10U,
C2,0805,1,100N,
"C3, C8, Cm1",CP_Radial_D6.3mm_P2.50mm,3,47U 50V,
"C4, C7",CP_Radial_D12.5mm_P5.00mm,2,1000U 50V,
C5,C_Disc_D6.0mm_W4.4mm_P5.00mm,1,4.7U X74 50V,
C6,C_Disc_D6.0mm_W4.4mm_P5.00mm,1,4.7U X7R 50V,
CSn1,C_Rect_L18.0mm_W7.0mm_P15.00mm_FKS3_FKP3,1, 220N PP 100V,
Cc1,C_Disc_D11.0mm_W5.0mm_P10.00mm,1,680P,
Cf1,C_Disc_D9.0mm_W5.0mm_P7.50mm,1,47P,
Ci1,CP_Radial_D12.5mm_P5.00mm,1,1000U 35V,
Cin1,CP_Radial_D5.0mm_P2.00mm,1,10UF,
D1,0805,1,YELLOW,
D2,0805,1,BLUE,
"H1, H2, H3, H4",MountingHole_3mm,4,MountingHole,
"J1, J2, J5",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Male,
"J3, J4, J6",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02_Male,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J8,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,Conn_01x02_Male,
J9,JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,1,Conn_01x03_Male,
R1,0603,1,4.7K,
R2,0805,1,15R,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.0K,
"R4, R5",0805,2,9.1K,
RB1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.2K,
RSn1,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,1,4R7,
"Rf1, Rf2, Rin1",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,20K,
Rmute1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,38.6K,
U2,SOT-23-6,1,TMP100,
U3,TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.85mm_Vertical,1,LM3886,
