Designator,Mid X,Mid Y,Rotation,Layer
C1,122.9,-92.75,90.0,bottom
C2,122.0,-97.55,180.0,bottom
C3,91.7,-115.75,90.0,top
C4,99.9,-116.95,0.0,top
C5,79.2,-114.95,0.0,bottom
C6,85.1,-114.95,0.0,bottom
C7,90.0,-127.55,90.0,top
C8,81.3,-120.45,180.0,top
CSn1,114.3,-122.25,90.0,top
Cc1,90.9625,-83.883333,180.0,bottom
Cc2,90.9625,-80.3,180.0,bottom
Cc3,90.9625,-87.466666,180.0,bottom
Cc4,88.23,-95.35,270.0,bottom
Cc5,91.0,-91.05,180.0,bottom
Cf1,93.4,-103.38,270.0,bottom
Ci1,105.8,-92.25,0.0,top
Cin1,109.0,-80.55,180.0,top
Cm1,79.5,-88.05,0.0,top
D1,102.045,-130.65,0.0,top
D2,115.225,-130.65,180.0,top
J1,116.05,-79.3,270.0,top
J2,129.3,-85.7,0.0,top
J3,122.9,-80.8,180.0,top
J4,127.8,-94.7,90.0,top
J5,99.5,-98.525,180.0,top
J6,127.8,-101.75,90.0,top
J7,116.8,-100.775,180.0,top
J8,127.0,-106.89,270.0,top
J9,127.0,-116.24,270.0,top
R1,124.9,-87.05,90.0,bottom
R2,112.9,-100.25,270.0,bottom
R3,97.4,-103.35,90.0,bottom
R4,105.945,-130.695,0.0,top
R5,111.27,-130.695,180.0,top
RB1,96.5625,-83.893333,0.0,bottom
RB2,96.5625,-80.3,180.0,bottom
RB3,96.5625,-87.486666,180.0,bottom
RB4,96.5625,-91.08,180.0,bottom
RSn1,102.05,-108.35,180.0,top
Rf1,88.2,-103.35,90.0,bottom
Rf2,90.8,-103.35,90.0,bottom
Rin1,101.4625,-83.4,90.0,bottom
Rmute1,85.8625,-83.4,270.0,bottom
U1,122.0,-100.75,180.0,bottom
U2,85.135,-110.95,90.0,top
