Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C2, C20, C21, C24, C25, C3, C4, C5, C6, C7, C8, C9",CP_Radial_D5.0mm_P2.50mm,20,10U,
C17,0805,1,0.1U,
"C18, C22",1206,2,10U,
C19,1206,1,47N C0G,
C23,1206,1,100N C0G,
D1,0805,1,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J10, J11, J13, J14, J15, J16, J17, J18, J19, J2, J3, J4, J5, J6, J7, J8, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,18,Conn_01x02_Male,
J12,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,CTO,
J20,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R2, R20, R21, R3, R4, R5, R6, R7, R8, R9",0805,20,100K,
"R19, R22",0805,2,24K,
R23,0603,1,1K,
U1,SOIC-28W_7.5x18.7mm_P1.27mm,1,AX2358,
