Designator,Mid X,Mid Y,Rotation,Layer
C1,123.5,-74.0,270.0,top
C10,143.0,-80.9,270.0,top
C11,149.5,-80.9,270.0,top
C12,156.0,-80.889888,270.0,top
C13,123.5,-87.8,270.0,top
C14,156.0,-87.8,270.0,top
C15,123.5,-94.7,270.0,top
C16,156.0,-94.689888,270.0,top
C17,131.3,-101.7,180.0,top
C18,131.2625,-104.0,180.0,top
C19,144.0,-107.8,180.0,top
C2,130.0,-74.0,270.0,top
C20,123.5,-101.6,270.0,top
C21,156.0,-101.6,270.0,top
C22,134.5,-106.5,180.0,top
C23,149.1,-110.1,180.0,top
C24,123.5,-108.5,270.0,top
C25,156.0,-108.5,270.0,top
C3,136.5,-74.0,270.0,top
C4,143.0,-74.0,270.0,top
C5,149.5,-74.0,270.0,top
C6,156.0,-74.0,270.0,top
C7,123.5,-80.9,270.0,top
C8,130.0,-80.9,270.0,top
C9,136.5,-80.9,270.0,top
D1,125.2875,-116.5,0.0,top
J1,122.0,-65.2,0.0,top
J10,164.0,-88.0,90.0,top
J11,114.95,-95.0,90.0,top
J12,164.0,-95.0,90.0,top
J13,114.95,-102.0,90.0,top
J14,164.0,-102.0,90.0,top
J15,114.95,-109.0,90.0,top
J16,164.0,-109.0,90.0,top
J17,133.8,-115.6,180.0,top
J18,141.9,-115.6,180.0,top
J19,150.3,-115.6,180.0,top
J2,133.2,-65.25,0.0,top
J20,159.0,-116.2,270.0,top
J3,144.4,-65.35,0.0,top
J4,155.6,-65.35,0.0,top
J5,114.95,-74.0,90.0,top
J6,164.0,-74.0,90.0,top
J7,114.95,-81.0,90.0,top
J8,164.0,-81.0,90.0,top
J9,114.95,-88.0,90.0,top
R1,119.5,-71.0,270.0,top
R10,160.5,-71.5,270.0,top
R11,119.5,-78.5,270.0,top
R12,160.5,-78.5,270.0,top
R13,119.5,-85.5,270.0,top
R14,160.5,-85.5,270.0,top
R15,119.5,-92.5,270.0,top
R16,160.5,-92.5,270.0,top
R17,119.5,-99.5,270.0,top
R18,160.5,-99.5,270.0,top
R19,148.5,-107.6,180.0,top
R2,124.5,-69.8,0.0,top
R20,119.5,-106.5,270.0,top
R21,160.5,-106.5,270.0,top
R22,144.6,-110.3,180.0,top
R23,121.5875,-116.5,0.0,top
R3,128.857142,-69.8,0.0,top
R4,133.214284,-69.8,180.0,top
R5,137.571426,-69.8,180.0,top
R6,141.928568,-69.8,180.0,top
R7,146.28571,-69.8,180.0,top
R8,150.642852,-69.8,180.0,top
R9,155.0,-69.8,180.0,top
U1,140.0,-95.5,0.0,top
