Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",CP_Radial_D30.0mm_P10.00mm_SnapIn,6,15000U,
"D1, D6",0805,2,RED,
"D2, D8",D_MELF,2,5V,
"D3, D4",0805,2,YELLOW,
"D5, D7",0805,2,BLUE,
"F1, F2",5x20mm AliExpress 250V 6A,2,Fuse_Small,
"H1, H3",MountingHole_3mm,2,MountingHole,
"H2, H4",MountingHole_3.2mm_M3,2,MountingHole,
"J1, J10, J2, J3, J4, J8, J9",JST_VH_B3P-VH_1x03_P3.96mm_Vertical,7,Conn_01x03_Male,
J11,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Male,
"J5, J6",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Male,
J7,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02_Male,
"R1, R7",0805,2,560R,
"R10, R2",1206,2,3.5K,
"R11, R5, R6, R9",0805,4,9.1K,
"R12, R3",2512,2,0.050,
"R4, R8",2512,2,1.2K,
