Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5",CP_Radial_D30.0mm_P10.00mm_SnapIn,4,15000U,
"D3, D4",0805,2,YELLOW,
"D5, D7",0805,2,BLUE,
"F1, F2",Aliexpress Fuse 5x20,2,Fuse_Small,
"H1, H3",MountingHole_3mm,2,MountingHole,
"H2, H4",MountingHole_3.2mm_M3,2,MountingHole,
"J1, J10, J2, J4, J9",JST_VH_B3P-VH_1x03_P3.96mm_Vertical,5,Conn_01x03_Male,
J7,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02_Male,
"R11, R5, R6, R9",0805,4,9.1K,
"R4, R8",R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,2,1.2K,
