Designator,Mid X,Mid Y,Rotation,Layer
C1,207.0,-96.517934,90.0,top
C2,176.0,-96.495,90.0,top
C3,191.6,-108.7,90.0,top
C4,206.5,-65.5,90.0,top
C5,175.5,-65.5,90.0,top
D1,189.4,-136.88,90.0,top
D2,163.5,-113.4,90.0,top
D3,209.195833,-126.0,0.0,top
D4,223.0,-111.525,90.0,top
D5,209.133333,-112.0,180.0,top
D6,183.4,-108.5,0.0,top
D7,225.5,-111.525,90.0,top
F1,205.45,-135.55,180.0,top
F2,205.55,-121.3,180.0,top
J1,148.8,-100.9625,270.0,top
J10,148.8,-59.3,270.0,top
J2,148.8,-87.075,270.0,top
J3,154.2375,-119.55,180.0,top
J4,148.8,-73.1875,270.0,top
J5,148.1,-129.9,180.0,top
J7,154.4,-133.5,0.0,top
J9,223.0,-130.0,90.0,top
K1,176.5875,-136.2,180.0,top
Q1,163.3,-120.8,90.0,top
R1,183.8,-136.92,90.0,top
R11,213.5,-112.0,0.0,top
R2,163.2,-125.1,180.0,top
R3,183.4,-112.2,0.0,top
R4,158.0,-84.12,90.0,top
R5,213.5,-126.0,180.0,top
R6,223.0,-115.625,270.0,top
R8,225.0,-84.12,90.0,top
R9,225.5,-115.625,270.0,top
