Designator,Mid X,Mid Y,Rotation,Layer
C1,167.0,-74.5,180.0,top
C2,176.152651,-74.6,180.0,top
C3,160.6,-80.1,180.0,bottom
C4,150.2,-102.7,180.0,bottom
C6,166.2,-80.1,180.0,bottom
C7,166.8375,-85.9,180.0,bottom
C8,141.933027,-102.842956,0.0,bottom
C9,133.9,-96.5,270.0,bottom
D1,135.2,-86.825,270.0,top
D2,135.2,-82.95,270.0,top
DIG1,129.9,-111.55,0.0,top
DIG2,136.7,-112.4,90.0,top
DIG4,159.05,-72.6,270.0,top
DIG5,151.45,-112.4,90.0,top
DIG6,153.25,-72.6,270.0,top
DIG7,145.5,-112.4,90.0,top
J1,173.5,-111.0,0.0,top
J2,166.1,-112.0,180.0,top
J3,123.0,-88.233333,0.0,top
J4,123.0,-96.466666,0.0,top
J5,123.0,-80.0,0.0,top
J6,123.0,-104.7,0.0,top
J7,145.95,-72.5,270.0,top
J8,140.25,-72.5,270.0,top
J9,129.1,-72.3,0.0,top
PS2,162.15,-91.7,0.0,top
R1,135.5,-91.1,180.0,bottom
R2,139.4,-84.2,270.0,bottom
U1,166.8375,-92.9,270.0,bottom
