Designator,Mid X,Mid Y,Rotation,Layer
C1,152.5973,-108.5,0.0,top
C10,132.0,-101.0,90.0,top
C11,134.0,-90.5,270.0,top
C12,134.0,-95.73,90.0,top
C13,111.0,-79.0,270.0,top
C14,117.5,-89.9027,90.0,top
C2,146.0973,-102.0,0.0,top
C3,124.05,-95.73,90.0,top
C4,123.6667,-90.5,90.0,top
C5,129.0,-116.5,0.0,top
C6,124.0,-101.0,270.0,top
C7,133.3625,-116.4375,0.0,top
C8,128.0,-101.0,90.0,top
C9,136.0,-101.0,90.0,top
D1,163.9,-107.975,270.0,top
D2,161.7,-107.975,270.0,top
D3,143.92,-90.5,0.0,top
D4,143.92,-95.5,0.0,top
D5,144.0125,-109.6,0.0,top
D6,144.0125,-107.3,0.0,top
D7,117.2,-100.955,270.0,top
D8,119.3,-100.955,270.0,top
J1,160.5,-98.5,90.0,top
J10,103.0,-110.96,0.0,top
J11,158.1,-116.06,0.0,top
J2,104.0,-103.975,0.0,top
J3,139.45,-119.5,90.0,top
J4,145.95,-119.5,90.0,top
J5,152.4,-119.5,90.0,top
J6,110.475,-119.0,90.0,top
J7,118.0,-119.0,90.0,top
J8,104.0,-96.475,0.0,top
J9,104.25,-88.5,0.0,top
L1,137.0,-82.0,90.0,top
L2,128.5,-82.0,90.0,top
R1,163.9,-111.775,270.0,top
R10,140.55,-95.73,90.0,top
R11,127.45,-95.73,90.0,top
R12,130.6,-95.73,90.0,top
R13,140.2125,-109.4,0.0,top
R14,140.2125,-107.5,0.0,top
R15,117.1,-104.6125,270.0,top
R16,119.4,-104.6,270.0,top
R2,161.7,-111.775,90.0,top
R3,125.0,-116.5,180.0,top
R4,125.195,-119.5,180.0,top
R5,129.4125,-119.375,180.0,top
R6,133.5,-119.375,180.0,top
R7,142.38,-80.0,0.0,top
R8,142.38,-85.0,0.0,top
R9,137.4,-95.73,90.0,top
U1,126.0,-109.0,90.0,top
U2,133.5,-109.0,90.0,top
U3,128.8333,-90.58,90.0,top
U4,139.1667,-90.58,90.0,top
