Designator,Mid X,Mid Y,Rotation,Layer
C1,115.067323,-92.3,0.0,top
C2,122.867323,-83.8,0.0,top
C3,124.4,-103.1,90.0,bottom
C4,124.4,-108.5,90.0,bottom
C5,131.95,-80.1875,180.0,bottom
C6,137.1,-100.0,90.0,bottom
C7,124.4,-92.8875,-90.0,bottom
C8,150.6,-100.0,-90.0,bottom
D1,145.1,-118.9,0.0,top
D2,145.1,-116.6,0.0,top
D3,138.1,-79.4,0.0,top
D4,130.95,-94.05,-90.0,top
J1,153.65,-118.05,0.0,top
J2,132.65,-118.55,0.0,top
J3,113.55,-100.4,0.0,top
J4,113.55,-106.25,0.0,top
J5,113.55,-112.15,0.0,top
R1,141.3,-118.9,180.0,top
R2,141.3,-116.6,0.0,top
R3,141.9,-93.8,180.0,bottom
R4,146.2,-93.8,180.0,bottom
R5,154.0,-93.8,180.0,bottom
R6,158.1,-93.8,180.0,bottom
TR1,140.2,-107.9,0.0,top
U1,143.6,-100.6,-90.0,bottom
U2,156.3,-100.6,-90.0,bottom
