Designator,Mid X,Mid Y,Rotation,Layer
C1,107.25,-93.732677,90.0,top
C10,162.75,-102.5,270.0,bottom
C11,123.5,-90.5,270.0,bottom
C12,131.75,-103.25,270.0,bottom
C2,112.827856,-82.75,0.0,top
C3,113.5,-102.5,90.0,bottom
C4,113.5,-109.0,90.0,bottom
C5,114.25,-90.6375,90.0,bottom
C6,137.1,-100.0,90.0,bottom
C7,123.5,-83.25,270.0,bottom
C8,150.6,-100.0,270.0,bottom
C9,150.5,-91.25,180.0,bottom
D1,113.9625,-119.5,180.0,top
D2,113.9625,-117.2,180.0,top
D3,138.1,-79.4,0.0,top
D4,131.5,-81.17,270.0,top
D5,126.5,-89.4,90.0,bottom
J1,153.5,-118.05,0.0,top
J2,146.5,-119.0,180.0,top
J3,103.5,-99.75,0.0,top
J4,103.5,-105.6,0.0,top
J5,103.5,-111.5,0.0,top
J6,130.5,-119.8,180.0,top
J7,137.75,-119.75,180.0,top
J8,123.0,-119.8,180.0,top
R1,110.1625,-119.5,180.0,top
R2,110.1625,-117.2,0.0,top
R3,141.9,-93.8,0.0,bottom
R4,146.2,-93.8,0.0,bottom
R5,154.0,-93.8,0.0,bottom
R6,158.1,-93.8,0.0,bottom
R7,127.0,-107.5,0.0,bottom
TR1,140.2,-107.9,0.0,top
U1,143.6,-100.6,270.0,bottom
U2,156.3,-100.6,270.0,bottom
U3,124.3575,-102.2,0.0,bottom
