Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D6.3mm_P2.50mm,1,C_Polarized,
D1,D_SMA,1,1N4001,
D2,0805,1,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Male,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
"J3, J5, J6, J7",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,Screw_Terminal_01x02,
K1,Relay_DPDT_Omron_G2RL-2,1,Relay_DPDT,
Q1,SOT-23_Handsoldering,1,2SC1945,
"R1, R3",0603,2,1K,
R2,0603,1,430R,
