Designator,Mid X,Mid Y,Rotation,Layer
C1,145.4,-113.2,90.0,top
C2,152.0625,-122.3,0.0,top
D1,182.8,-105.7,270.0,top
D2,171.9875,-133.0,0.0,top
D3,151.7,-131.8,90.0,top
J1,158.0,-133.7,180.0,top
J10,143.7,-126.5,0.0,top
J11,173.7625,-117.3,90.0,top
J12,184.2,-91.64,180.0,top
J2,157.8,-126.2,270.0,top
J3,181.9,-117.3,90.0,top
J4,143.7,-119.75,0.0,top
J5,181.725,-126.65,90.0,top
J6,146.5,-92.0,180.0,top
J7,173.7625,-126.6,90.0,top
J8,146.5,-100.2,180.0,top
J9,165.8,-126.6,90.0,top
K1,176.5375,-100.3125,270.0,top
PS2,164.850986,-89.1,0.0,top
Q1,154.2,-118.9,0.0,top
R1,160.2,-118.675,90.0,top
R2,168.2875,-133.0,180.0,top
R3,161.3,-132.975,270.0,top
R4,149.8,-131.775,90.0,top
