Designator,Mid X,Mid Y,Rotation,Layer
C1,141.513748,-74.23738,90.0,top
C10,88.013748,-85.755,180.0,top
C11,83.313748,-87.455,180.0,top
C12,77.6,-86.75,270.0,top
C13,88.813748,-88.155,0.0,top
C14,141.513748,-91.319759,90.0,top
C15,89.063748,-94.155,0.0,top
C16,88.326248,-96.655,180.0,top
C17,85.49375,-102.15,90.0,top
C18,83.09375,-102.95,270.0,top
C19,101.576248,-121.23,180.0,top
C2,130.327496,-75.11,0.0,top
C20,74.613748,-128.955,0.0,top
C21,105.546248,-129.53,180.0,top
C22,100.246248,-129.53,0.0,top
C23,101.746248,-132.63,270.0,top
C24,103.9958,-132.64311,270.0,top
C25,92.276248,-145.055,0.0,top
C26,74.513748,-145.355,0.0,top
C27,99.813748,-145.93,180.0,top
C28,103.713748,-145.93,0.0,top
C29,103.713748,-148.13,0.0,top
C3,82.1625,-76.1,0.0,top
C30,99.013748,-148.23,0.0,top
C4,86.9625,-76.1,180.0,top
C5,75.0,-82.1,270.0,top
C6,77.6,-82.1,270.0,top
C7,122.127496,-81.51,90.0,top
C8,141.513748,-82.778569,90.0,top
C9,83.363748,-84.355,180.0,top
D1,129.513748,-62.755,180.0,top
D2,141.218748,-62.755,0.0,top
D3,127.926248,-159.005,0.0,top
D4,127.926248,-162.505,0.0,top
J1,72.513748,-61.255,0.0,top
J10,53.413748,-92.955,90.0,top
J11,67.19,-105.0,270.0,top
J12,91.375,-105.0,90.0,top
J13,101.763748,-112.465,0.0,top
J14,94.633748,-116.505,270.0,top
J15,114.001248,-131.53,90.0,top
J16,54.113748,-136.055,90.0,top
J17,92.076248,-140.53,180.0,top
J18,114.001248,-140.155,90.0,top
J19,67.84,-141.455,270.0,top
J2,84.613748,-61.255,0.0,top
J20,54.113748,-152.255,90.0,top
J21,108.013748,-160.405,0.0,top
J22,115.913748,-160.355,0.0,top
J23,67.84,-157.96,270.0,top
J3,66.413748,-63.495,180.0,top
J4,67.933748,-71.505,90.0,top
J5,53.413748,-75.155,90.0,top
J6,152.1,-82.3,90.0,top
J7,53.363748,-83.155,90.0,top
J8,151.538748,-90.055,90.0,top
J9,70.9,-92.86,0.0,top
R1,133.497081,-63.02,180.0,top
R10,85.803748,-125.1675,90.0,top
R11,87.513748,-125.1675,90.0,top
R12,89.213748,-125.1675,90.0,top
R13,96.263748,-128.1675,90.0,top
R14,113.851248,-134.43,180.0,top
R15,56.138748,-145.42,0.0,top
R16,113.851248,-143.055,180.0,top
R17,106.513748,-147.43,270.0,top
R18,123.926248,-159.005,0.0,top
R19,123.926248,-162.505,0.0,top
R2,137.235414,-63.02,0.0,top
R3,82.2125,-78.1,180.0,top
R4,86.9125,-78.1,0.0,top
R5,55.013748,-97.155,180.0,top
R6,67.35,-102.1,180.0,top
R7,91.2275,-102.1,0.0,top
R8,56.051248,-129.055,0.0,top
R9,84.013748,-125.1675,90.0,top
T1,69.813748,-134.955,0.0,top
T2,69.813748,-151.055,0.0,top
U1,128.513748,-80.555,180.0,top
U2,79.875,-93.8375,270.0,top
U3,102.11205,-139.49311,90.0,top
X1,100.476248,-124.83,180.0,top
