Designator,Mid X,Mid Y,Rotation,Layer
C1,166.754,-92.165,0.0,top
C10,94.8928,-104.5833,0.0,top
C11,94.8928,-98.5833,0.0,top
C12,94.9377,-92.5833,0.0,top
C13,94.8928,-86.5833,0.0,top
C14,94.8928,-80.5833,0.0,top
C15,94.8928,-74.5833,0.0,top
C16,94.8928,-68.5833,0.0,top
C17,150.2364,-72.665,0.0,top
C18,149.7364,-70.165,0.0,top
C19,159.3739,-70.065,0.0,top
C2,166.754,-85.165,0.0,top
C20,159.3364,-72.565,180.0,top
C21,106.4364,-73.1507,90.0,top
C22,114.3364,-73.1507,90.0,top
C23,145.3364,-104.265,0.0,top
C24,150.0364,-104.2275,0.0,top
C25,140.6364,-96.465,90.0,top
C26,147.2364,-92.465,0.0,top
C27,144.9364,-83.2025,270.0,top
C28,147.4364,-82.665,270.0,top
C29,128.4364,-78.665,90.0,top
C3,155.6864,-88.945,0.0,top
C30,130.9364,-78.165,270.0,top
C4,156.2739,-86.565,0.0,top
C5,162.5364,-96.2025,270.0,top
C6,160.1364,-95.6025,270.0,top
C7,151.7228,-96.1675,270.0,top
C8,149.0364,-96.965,270.0,top
C9,95.0013,-110.5833,0.0,top
D1,125.8364,-100.465,90.0,top
D10,159.4364,-113.575,180.0,top
D2,125.8364,-110.965,90.0,top
D3,124.2364,-73.065,180.0,top
D4,125.8364,-90.465,90.0,top
D5,132.2114,-100.8225,90.0,top
D6,134.5364,-100.8275,270.0,top
D7,134.5364,-112.04,90.0,top
D8,132.2835,-112.04,90.0,top
J1,90.0064,-71.7683,270.0,top
J10,131.4614,-93.865,90.0,top
J11,167.9364,-100.665,90.0,top
J12,167.4364,-78.165,90.0,top
J13,122.9364,-65.74,180.0,top
J14,131.4614,-88.465,90.0,top
J19,160.0364,-64.665,180.0,top
J2,90.1064,-82.1183,270.0,top
J3,90.1564,-92.5183,270.0,top
J4,90.1564,-102.8183,270.0,top
J5,108.6864,-63.565,0.0,top
J6,101.3364,-63.565,0.0,top
J7,116.0364,-63.565,0.0,top
J8,167.9364,-107.665,90.0,top
J9,145.5364,-64.565,180.0,top
K1,110.0964,-100.905,0.0,top
K2,110.0964,-111.155,0.0,top
K3,110.0964,-80.8583,0.0,top
K4,110.0964,-90.905,0.0,top
K7,147.5164,-111.155,0.0,top
Q1,120.0139,-78.66,0.0,top
Q2,120.0139,-89.16,0.0,top
Q3,120.0139,-98.71,0.0,top
Q4,120.0139,-109.16,0.0,top
Q5,157.8739,-106.125,0.0,top
R1,132.2864,-104.5775,90.0,top
R10,143.9239,-87.065,0.0,top
R11,143.9239,-89.615,0.0,top
R12,163.1364,-83.3525,90.0,top
R13,163.2364,-88.365,90.0,top
R14,140.0239,-91.765,180.0,top
R15,134.5364,-108.34,90.0,top
R16,132.2364,-108.34,90.0,top
R17,99.8928,-107.7583,270.0,top
R18,99.8928,-113.6708,270.0,top
R19,99.8928,-95.6708,270.0,top
R2,134.5364,-104.5775,90.0,top
R20,99.8928,-101.6708,270.0,top
R21,99.8928,-83.6708,270.0,top
R22,99.8928,-89.1708,270.0,top
R23,99.8928,-77.6708,270.0,top
R24,99.8928,-71.6708,270.0,top
R25,154.9364,-102.965,0.0,top
R26,119.7439,-95.0483,0.0,top
R27,119.7439,-104.8483,0.0,top
R28,119.7439,-84.5483,0.0,top
R29,119.7364,-114.9483,0.0,top
R3,119.7439,-82.41,180.0,top
R30,162.1364,-106.0525,270.0,top
R31,140.8364,-103.6775,90.0,top
R4,119.7439,-92.86,180.0,top
R5,119.7439,-102.41,180.0,top
R6,119.7439,-112.94,180.0,top
R7,157.8139,-109.855,180.0,top
R8,149.7114,-87.065,0.0,top
R9,149.7114,-89.615,0.0,top
T1,132.0164,-65.425,180.0,top
U1,144.9364,-97.665,270.0,top
U2,151.4364,-83.465,90.0,top
U3,156.0364,-97.565,90.0,top
U4,134.1364,-83.465,90.0,top
