Designator,Mid X,Mid Y,Rotation,Layer
C1,149.4,-56.4,270.0,bottom
C10,129.6875,-70.65,180.0,bottom
C11,129.6875,-79.65,180.0,bottom
C12,127.15,-105.1375,270.0,bottom
C13,124.8,-107.1875,270.0,bottom
C14,115.5,-111.6,0.0,bottom
C15,115.5,-114.15,0.0,bottom
C2,145.45,-103.25,180.0,bottom
C3,143.25,-100.8,180.0,bottom
C4,146.05,-60.55,90.0,bottom
C5,149.550002,-122.65,0.0,bottom
C6,149.55,-126.1,0.0,bottom
C7,143.55,-59.95,90.0,bottom
C8,133.6,-111.7125,270.0,bottom
C9,131.15,-114.4875,90.0,bottom
D1,122.575,-91.05,180.0,top
D2,122.575,-93.25,180.0,top
D3,130.56,-46.91,0.0,top
D4,130.56,-49.92,0.0,top
J1,110.35,-52.84,270.0,top
J10,123.8,-135.6,0.0,top
J11,125.575,-83.8875,270.0,top
J12,132.79,-57.45,270.0,top
J13,137.4,-128.45,0.0,top
J14,137.4,-135.55,0.0,top
J15,139.725,-57.45,270.0,top
J16,144.49,-46.0,270.0,top
J17,144.49,-49.7,270.0,top
J18,145.35,-135.55,0.0,top
J19,158.025,-129.3,90.0,top
J2,110.35,-61.52,270.0,top
J20,158.6,-92.9,90.0,top
J21,158.6,-100.05,90.0,top
J22,158.6,-107.6,90.0,top
J23,158.7,-56.0,90.0,top
J24,158.6,-115.25,90.0,top
J3,110.35,-78.2,270.0,top
J4,110.35,-92.88,270.0,top
J5,110.35,-105.56,270.0,top
J6,110.35,-122.24,270.0,top
J7,116.7,-135.6,0.0,top
J8,125.31,-66.2,90.0,top
J9,125.31,-75.0,90.0,top
Q1,140.2,-92.6,270.0,bottom
Q2,135.25,-92.61,90.0,bottom
Q3,117.3,-61.3,180.0,bottom
Q4,117.736565,-101.916897,180.0,bottom
R1,118.9125,-91.3,0.0,top
R10,143.3,-93.2,270.0,bottom
R11,132.2,-93.15,90.0,bottom
R12,132.000795,-134.070928,90.0,bottom
R13,129.900795,-134.070928,90.0,bottom
R14,121.8,-60.33,180.0,bottom
R15,121.8,-62.3,0.0,bottom
R16,121.136565,-101.916897,90.0,bottom
R17,119.75,-83.9875,270.0,bottom
R18,118.252048,-98.902988,0.0,bottom
R19,116.35,-105.85,270.0,bottom
R2,118.9125,-93.0,0.0,top
R20,117.3,-56.55,180.0,bottom
R3,126.7125,-46.9,0.0,top
R4,126.7125,-49.92,0.0,top
R5,153.85,-104.9125,90.0,bottom
R6,153.85,-114.25,90.0,bottom
R7,149.3,-88.8125,90.0,bottom
R8,149.45,-60.7,270.0,bottom
R9,145.5,-88.8125,90.0,bottom
SW1,119.6,-53.625,0.0,top
U1,143.3,-75.0,270.0,top
U2,135.0,-102.95,0.0,bottom
U3,127.350795,-123.858428,90.0,bottom
U4,127.15,-115.8375,0.0,bottom
