Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C2",CP_Radial_D8.0mm_P5.00mm,4,680u,
"C10, C11, C4, C9",1206,4,10u,
"C12, C3",0805,2,0.1u,
"C5, C7",0603,2,0.1U,
"C6, C8",1206,2,47U,
"D1, D5, D7",0805,3,BLUE,
"D2, D6, D8",0805,3,YELLOW,
"D3, D4",D_DO-41_SOD81_P10.16mm_Horizontal,2,10V,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,1,Conn_01x03_Male,
"J10, J11",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J2, J6, J7, J8",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,4,Conn_01x04_Pin,
"J3, J4, J5",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,3,Conn_01x03_Male,
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
L1,L_Taiyo-Yuden_NR-60xx_HandSoldering,1,15uH,
L2,L_Taiyo-Yuden_NR-60xx_HandSoldering,1,10uH,
"R1, R2",0603,2,3.3K,
"R10, R12",0603,2,10k,
R11,0603,1,23.7,
R13,0603,1,1.25k,
R14,0603,1,1k,
R15,0603,1,75R,
R16,0603,1,750R,
"R3, R6",0603,2,120R,
"R4, R5",0603,2,510R,
"R7, R8",R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,2,360R 2W,
R9,0603,1,40.2k,
U1,SOT-223-3_TabPin2,1,LM317_SOT-223,
U2,SOT-223-3_TabPin2,1,LM337_SOT223,
"U3, U4",SOT-23-6_Handsoldering,2,LMR50410XDBVR,
