Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C27, C30, C4, C5, C8",0805,6,0.1U,
"C10, C9",CP_Radial_D5.0mm_P2.00mm,2,10u,
C11,0805,1,56n C0G,
C12,0805,1,130n C0G,
"C2, C28, C29, C3, C6, C7",1206,6,10U,
"C21, C22",CP_Radial_D6.3mm_P2.50mm,2,470u,
D1,0805,1,YELLOW,
D2,0805,1,BLUE,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J15, J2, J4, J7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,5,Conn_01x02_Pin,
"J3, J9",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03_Male,
"R1, R2, R3, R4, R6, R7",0603,6,10K,
R10,0603,1,1.25K,
R11,0603,1,1K,
R5,0603,1,20K,
R8,0603,1,23K,
R9,0603,1,10.5K,
T1,DA101C,1,Transformer_Audio,
"U1, U2, U4",DIP-8_W7.62mm_Socket,3,OPA2134,
