Designator,Mid X,Mid Y,Rotation,Layer
C1,128.76265,-95.3925,270.0,top
C10,124.1364,-107.920113,90.0,top
C11,141.6364,-86.9275,90.0,top
C12,141.6364,-82.765,90.0,top
C2,126.16265,-95.9925,270.0,top
C21,167.7364,-83.164999,90.0,top
C22,167.7364,-90.165,90.0,top
C27,111.8364,-95.3025,270.0,top
C28,109.4364,-95.9025,270.0,top
C29,118.1364,-78.465,90.0,top
C3,135.14515,-78.465,90.0,top
C30,115.6364,-79.065,90.0,top
C4,132.74515,-79.065,90.0,top
C5,146.5364,-95.7025,270.0,top
C6,144.1364,-96.3025,270.0,top
C7,152.9364,-78.465,90.0,top
C8,150.5364,-79.065,90.0,top
C9,116.3364,-107.920113,90.0,top
D1,160.1039,-114.32,0.0,top
D2,148.9614,-114.265,180.0,top
J1,115.4364,-63.665,0.0,top
J15,123.9364,-112.665,0.0,top
J2,123.9364,-63.665,0.0,top
J3,167.9364,-100.165,90.0,top
J4,115.4364,-112.665,0.0,top
J7,144.4364,-63.665,0.0,top
J9,167.9364,-75.165,90.0,top
R1,123.84515,-86.965,90.0,top
R10,156.3614,-114.465,0.0,top
R11,152.7039,-114.46,180.0,top
R2,123.84515,-83.115,90.0,top
R3,120.0364,-106.965001,90.0,top
R4,127.8364,-106.965001,90.0,top
R5,123.84515,-79.265,90.0,top
R6,137.14515,-88.365,270.0,top
R7,137.14515,-92.065,90.0,top
R8,142.2364,-79.565,180.0,top
R9,145.9364,-79.565,0.0,top
T1,155.8364,-65.265,0.0,top
U1,126.7364,-83.365,0.0,top
U2,144.6189,-83.365,0.0,top
U4,109.7364,-83.365,0.0,top
