Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C29, C34, C40",CP_Radial_D6.3mm_P2.50mm,5,220u,
"C36, C43, C57",1206,3,10u,
"C38, C42",0805,2,22p,
"C39, C41, C45, C48, C50, C52, C53, C55, C56",0805,9,0.1U,
"C44, C49, C51",1206,3,10U 10V,
C46,0805,1,3.3N C0G,
C47,0805,1,56N C0G,
D1,0805,1,PURPLE,
D2,0805,1,BLUE,
"J1, J13, J2, J4, J5, J7, J8, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,8,Conn_01x02_Pin,
"J10, J12, J16, J3, J6",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,5,Conn_01x03_Pin,
J11,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
J14,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,1,Conn_01x08_Pin,
J15,PinHeader_2x16_P2.54mm_Vertical,1,Conn_02x16_Odd_Even,
R10,0603,1,75R,
"R11, R12, R13, R14, R15, R16, R17, R18, R19",0603,9,22R,
R6,0603,1,100R,
R7,0603,1,300R,
R8,0603,1,4.7K,
R9,1206,1,475R,
T1,DA101C,1,Transformer_1P_1S,
U4,LFCSP-72-1EP_10x10mm_P0.5mm_EP5.3x5.3mm,1,ADAU1452,
U5,SOT-223-3_TabPin2,1,ZLDO1117QG33TA,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,24.576Mhz,
