Designator,Mid X,Mid Y,Rotation,Layer
C1,133.501179,-84.865,0.0,top
C2,133.618779,-92.365,0.0,top
C29,140.45402,-73.715,180.0,top
C34,140.45402,-87.965,180.0,top
C36,121.0364,-100.365,0.0,top
C38,102.8364,-76.4775,180.0,top
C39,102.6489,-101.91,270.0,top
C40,140.45402,-80.84,180.0,top
C41,87.5989,-95.865,180.0,top
C42,98.9739,-74.2775,180.0,top
C43,113.4364,-105.465,270.0,top
C44,86.6989,-86.665,180.0,top
C45,107.1489,-100.2275,270.0,top
C46,111.4863,-91.6738,0.0,top
C47,111.4863,-93.7738,0.0,top
C48,94.4364,-102.1275,270.0,top
C49,86.6989,-82.665,180.0,top
C50,96.7364,-76.4775,180.0,top
C51,114.4064,-86.3475,0.0,top
C52,109.8689,-84.1475,0.0,top
C53,109.8064,-86.2475,0.0,top
C55,111.4689,-95.985,0.0,top
C56,109.9364,-88.665,0.0,top
C57,118.5689,-91.985,270.0,top
D1,132.4114,-107.765,180.0,top
D2,132.3739,-110.665,180.0,top
J1,69.1364,-66.015,180.0,top
J10,141.5364,-107.365,90.0,top
J11,90.2364,-115.515,0.0,top
J12,121.0364,-115.315,0.0,top
J13,111.9364,-115.365,0.0,top
J14,77.5364,-115.315,0.0,top
J15,64.5614,-90.855,180.0,top
J16,141.4864,-98.065,90.0,top
J2,76.8114,-66.015,180.0,top
J3,85.4864,-66.015,180.0,top
J4,94.1614,-66.015,180.0,top
J5,101.8364,-66.015,180.0,top
J6,110.5114,-66.015,180.0,top
J7,119.1864,-66.015,180.0,top
J8,126.8614,-66.015,180.0,top
J9,134.5364,-66.015,180.0,top
R10,128.8739,-110.765,0.0,top
R11,74.4364,-97.665,0.0,top
R12,74.4364,-99.4119,0.0,top
R13,74.4364,-101.1588,0.0,top
R14,74.4364,-88.9181,0.0,top
R15,74.4364,-92.4119,0.0,top
R16,74.4364,-90.665,0.0,top
R17,74.4364,-79.165,0.0,top
R18,74.4364,-80.9119,0.0,top
R19,74.4364,-82.6588,0.0,top
R6,102.7364,-74.3775,180.0,top
R7,128.9489,-107.765,0.0,top
R8,86.5364,-75.9775,270.0,top
R9,114.7489,-92.7275,270.0,top
T1,127.3364,-76.505,0.0,top
U4,97.8989,-90.0775,180.0,top
U5,119.6864,-105.665,180.0,top
Y1,91.4989,-76.1775,180.0,top
