Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6",0805,3,10u,
"C2, C4, C7",0603,3,0.1u,
C5,CP_Elec_6.3x7.7,1,220u,C4747974
"D1, D2, D3, D4",0603,4,BLUE,C84259
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C6332197
J10,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,
"J2, J4, J6, J7",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,4,Conn_01x04_Pin,
"J3, J5, J8",PinHeader_1x06_P2.54mm_Vertical,3,Conn_01x06_Pin,
J9,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
"R1, R3, R5, R6",0603,4,150R,C22808
"R2, R4, R7",0603,3,4.7K,C23162
"U1, U2, U3",ESP32-S3-WROOM-2,3,ESP32-S3-WROOM-2,
