Designator,Mid X,Mid Y,Rotation,Layer
C1,67.5114,-103.865,180.0,top
C2,67.7364,-106.165,180.0,top
C3,114.7114,-115.2025,270.0,top
C4,116.9614,-115.2517,270.0,top
C5,132.4364,-69.065,180.0,top
C6,139.8364,-78.015,180.0,top
C7,139.7864,-80.515,180.0,top
D1,65.5864,-79.6483,180.0,top
D2,102.0364,-79.6483,180.0,top
D3,128.4864,-79.6483,180.0,top
D4,131.8739,-108.815,180.0,top
J1,82.4464,-72.94,90.0,top
J10,141.7864,-107.465,90.0,top
J2,82.2864,-66.34,0.0,top
J3,85.3864,-90.195,0.0,top
J4,83.7364,-115.115,180.0,top
J5,101.7564,-91.515,90.0,top
J6,99.9864,-66.34,0.0,top
J7,117.0364,-66.34,0.0,top
J8,119.0364,-90.195,0.0,top
J9,123.1864,-115.015,0.0,top
R1,62.4114,-79.6883,0.0,top
R2,63.9864,-104.915,90.0,top
R3,98.8614,-79.6883,0.0,top
R4,115.6864,-109.815,180.0,top
R5,125.3114,-79.6883,0.0,top
R6,128.7364,-108.855,0.0,top
R7,136.4864,-78.54,270.0,top
U1,69.2364,-91.665,90.0,top
U2,102.3464,-108.405,180.0,top
U3,134.4764,-91.665,270.0,top
