Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C2",1206,5,10u,C13585
"C12, C15",1206,2,2.2u,C50254
"C14, C16, C17, C19, C22, C24, C29, C3, C4, C5, C9",0805,11,0.1u,C28233
"C18, C21, C6",CP_Elec_6.3x7.7,3,220u,C4747974
"C7, C8",0805,2,20p,C1798
"D1, D2, D3, D4, D5, D6, D7, D8",0805,8,BLUE,C84259
"J1, J2, J3, J4, J7",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,5,Conn_01x04_Pin,
"J10, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Male,
"J11, J14, J15, J16, J17",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02_Pin,C225477
"J12, J13, J18",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,C6332197
J5,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,C6332199
"J6, J8",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03_Pin,
"R1, R19, R2, R22, R23, R24, R25, R26",0603,8,150R,C22808
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R3, R4, R5, R6, R7, R8, R9",0603,16,22R,C23345
"R20, R21, R27, R28",0603,4,4.7K,C23162
SW2,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,TS-1187A-B-A-B,C318884
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U2, U3, U4",TSSOP-8_4.4x3mm_P0.65mm,3,PI6CV304,C2649345
U5,LQFP-100_14x14mm_P0.5mm,1,STM32H723VGTx,C730142
Y1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,1,25 MHz,C9006
