Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6, C8",1206,4,10U,
"C10, C11",CP_Radial_D6.3mm_P2.50mm,2,470u,
"C2, C3, C4, C7, C9",0805,5,0.1U,
"D1, D3",0603,2,BLUE,XL-1608UBC-04
D2,0603,1,YELLOW,XL-1608UBC-04
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad_TopOnly,4,MountingHole,
"J1, J2",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04_Pin,
J5,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,
"Q1, Q2",TSOT-23,2,2N3055,
R1,0603,1,100R,
R2,0603,1,430R,
"R3, R4",0603,2,10K,
R5,0603,1,150R,
U1,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RL,
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM3160,
