Designator,Mid X,Mid Y,Rotation,Layer
C1,114.425,-70.75,90.0,top
C10,153.6,-71.31762,90.0,top
C11,161.0,-71.31762,90.0,top
C2,116.775,-72.9,90.0,top
C3,112.075,-72.8,90.0,top
C4,104.2,-89.7,270.0,top
C5,106.8646,-90.3154,270.0,top
C6,128.2,-106.8,270.0,top
C7,130.7,-106.3,270.0,top
C8,149.2,-105.8,90.0,top
C9,146.7,-105.3,90.0,top
D1,101.05,-115.86,180.0,top
D2,101.05,-114.16,180.0,top
D3,167.7,-84.0,270.0,top
J1,88.85,-106.0,270.0,top
J2,167.85,-106.5,90.0,top
J5,167.85,-94.5,90.0,top
Q1,114.005,-93.8,0.0,top
Q2,114.005,-98.9233,0.0,top
R1,97.3875,-115.9,0.0,top
R2,97.3875,-114.2,0.0,top
R3,113.485,-90.4233,0.0,top
R4,113.485,-102.3,180.0,top
R5,167.7,-87.4125,90.0,top
U1,111.0,-80.7,0.0,top
U2,139.2,-98.3,90.0,top
