Designator,Mid X,Mid Y,Rotation,Layer
C1,110.0,-84.9,270.0,top
C2,112.8,-85.5375,270.0,top
J1,122.3,-67.5,180.0,top
J10,147.4,-95.45,90.0,top
J11,147.4,-102.0,90.0,top
J12,147.4,-108.55,90.0,top
J13,139.45,-115.0,0.0,top
J14,132.9,-115.0,0.0,top
J15,126.35,-115.0,0.0,top
J16,119.8,-115.0,0.0,top
J17,108.2,-67.0,180.0,top
J2,128.85,-67.5,180.0,top
J3,91.25,-83.15,90.0,top
J4,91.15,-93.4,270.0,top
J5,135.4,-67.5,180.0,top
J6,141.95,-67.5,180.0,top
J7,147.4,-74.95,90.0,top
J8,147.4,-81.5,90.0,top
J9,147.4,-88.05,90.0,top
R2,112.9,-73.0,90.0,top
U1,117.525,-93.5,270.0,top
