Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C15, C17, C20, C5, C6",CP_Radial_D5.0mm_P2.00mm,8,10u,
"C11, C19",1206,2,47U,
"C12, C14, C18, C7",0805,4,0.1U,
"C16, C8",1206,2,10U,
"C2, C3, C4, C9",CP_Radial_D6.3mm_P2.50mm,4,470u,
"D1, D3",0805,2,YELLOW,
"D2, D4",0805,2,BLUE,
"D5, D6, D7, D8",D_SMA,4,1N4001,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2, J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02_Pin,
"J10, J11, J5, J7",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,4,Conn_01x03_Pin,
J12,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Male,
"J13, J14",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Male,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
"J6, J8",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J9,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
"K1, K2, K3, K4",KEMET EA2,4,EA2-5NU,
"Q1, Q2, Q3, Q4",SOT-23,4,BC859,
R1,0603,1,430R,
"R10, R12, R15, R16, R20, R22, R6, R7",0603,8,50k,
"R11, R14, R18, R19, R23, R5, R9",0603,7,4.7K,
"R13, R17, R2, R21, R8",0603,5,1K,
R3,0603,1,670R,
R4,0603,1,1.25k,
U1,TSSOP-16_4.4x5mm_P0.65mm,1,TCA9554PW,
U2,TSSOP-16_4.4x5mm_P0.65mm,1,DS1882E,
