Designator,Mid X,Mid Y,Rotation,Layer
C1,94.8928,-68.5833,0.0,top
C10,94.8928,-86.5833,0.0,top
C11,138.4864,-88.565,0.0,top
C12,137.8864,-90.965,0.0,top
C13,94.9377,-92.5833,0.0,top
C14,133.4364,-94.565,270.0,top
C15,94.8928,-98.5833,0.0,top
C16,130.7364,-95.165,270.0,top
C17,94.8928,-104.5833,0.0,top
C18,133.5364,-103.065,270.0,top
C19,136.4614,-103.665,270.0,top
C2,122.5364,-73.0474,90.0,top
C20,95.0013,-110.5833,0.0,top
C3,106.4364,-73.1507,90.0,top
C4,114.4864,-73.1507,90.0,top
C5,94.8928,-74.5833,0.0,top
C6,94.8928,-80.5833,0.0,top
C7,138.7264,-82.665,270.0,top
C8,141.9364,-83.265,270.0,top
C9,146.4364,-82.165,0.0,top
D1,135.3289,-63.665,0.0,top
D2,124.1114,-63.665,0.0,top
D3,124.1114,-65.9179,0.0,top
D4,135.3239,-65.9179,180.0,top
D5,126.0364,-81.0317,90.0,top
D6,126.0364,-90.9983,90.0,top
D7,126.0364,-100.965,90.0,top
D8,126.0364,-110.9317,90.0,top
J1,101.3364,-63.565,0.0,top
J10,90.1564,-92.5183,270.0,top
J11,90.1564,-102.8183,270.0,top
J12,147.9364,-107.165,90.0,top
J13,131.9364,-112.565,0.0,top
J14,138.9364,-112.565,0.0,top
J2,108.6864,-63.565,0.0,top
J3,115.6364,-65.565,180.0,top
J4,147.9864,-72.165,90.0,top
J5,90.0064,-71.7683,270.0,top
J6,131.5364,-75.54,180.0,top
J7,90.1064,-82.1183,270.0,top
J8,131.6364,-89.205,180.0,top
J9,147.4364,-97.165,90.0,top
K1,110.0964,-80.8583,0.0,top
K2,110.0964,-90.905,0.0,top
K3,110.0964,-100.905,0.0,top
K4,110.0964,-111.155,0.0,top
Q1,120.0139,-78.66,0.0,top
Q2,120.0139,-88.645,0.0,top
Q3,120.0139,-98.63,0.0,top
Q4,120.0139,-108.615,0.0,top
R1,131.4931,-63.4,0.0,top
R10,99.8928,-83.6708,270.0,top
R11,119.7439,-84.9933,0.0,top
R12,99.8928,-89.1708,270.0,top
R13,119.7439,-92.2967,180.0,top
R14,119.7439,-94.9783,0.0,top
R15,99.8928,-95.6708,270.0,top
R16,99.8928,-101.6708,270.0,top
R17,119.7439,-102.2816,180.0,top
R18,139.1364,-102.865,270.0,top
R19,119.7439,-104.9633,0.0,top
R2,127.9022,-63.4,0.0,top
R20,99.8928,-107.7583,270.0,top
R21,119.7439,-112.2666,180.0,top
R22,99.8928,-113.6708,270.0,top
R23,119.7364,-114.9483,0.0,top
R3,131.5197,-66.1829,0.0,top
R4,127.9156,-66.1829,0.0,top
R5,138.0614,-69.665,180.0,top
R6,99.8928,-71.6708,270.0,top
R7,99.8928,-77.6708,270.0,top
R8,119.7439,-82.3117,180.0,top
R9,135.9364,-82.465,90.0,top
U1,138.2614,-75.2275,90.0,top
U2,138.5364,-96.565,90.0,top
