Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C4",CP_Radial_D6.3mm_P2.50mm,4,470u,
"C11, C13, C5",0805,3,0.1U,
"C15, C16, C2",1206,3,10U,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J15, J17, J18, J2, J3, J4, J5, J6, J9",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,10,Conn_01x03_Pin,
J13,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Male,
J14,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
J16,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
"R1, R2, R3, R4, R5, R6, R7",0603,7,4.7K,
U1,SOIC-28W_7.5x18.7mm_P1.27mm,1,MPC507,
U4,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP23017_SS,
