Designator,Mid X,Mid Y,Rotation,Layer
C1,167.768779,-71.915,0.0,top
C11,145.1364,-71.865,0.0,top
C13,142.6364,-113.24,270.0,top
C15,120.8661,-97.7719,90.0,top
C16,145.7364,-84.565,0.0,top
C17,160.3864,-100.24742,90.0,top
C18,160.4364,-107.347379,270.0,top
C2,145.7214,-74.565,0.0,top
C4,167.768779,-79.765,0.0,top
C5,145.1589,-81.665,0.0,top
J1,113.8764,-64.115,0.0,top
J13,168.4864,-105.065,90.0,top
J14,89.2864,-105.065,270.0,top
J15,89.3864,-86.765,90.0,top
J16,126.6693,-114.2771,90.0,top
J17,160.2764,-64.115,0.0,top
J18,97.9764,-64.115,0.0,top
J2,123.1564,-64.115,0.0,top
J3,132.4364,-64.115,0.0,top
J4,141.7164,-64.115,0.0,top
J5,150.9964,-64.115,0.0,top
J6,168.7864,-92.365,90.0,top
J7,96.0364,-79.64,0.0,top
J9,89.3364,-77.365,90.0,top
R1,139.4364,-113.3275,270.0,top
R2,148.1364,-112.54,90.0,top
R3,118.3411,-98.5719,90.0,top
R4,117.1489,-103.97,0.0,top
R5,117.1489,-106.48,0.0,top
R6,117.1489,-108.99,0.0,top
R7,113.9091,-111.7485,180.0,top
U1,132.4214,-79.265,180.0,top
U4,109.0364,-104.09,270.0,top
