Designator,Mid X,Mid Y,Rotation,Layer
C1,96.9,-74.825,270.0,top
C2,106.9,-74.825,270.0,top
C3,116.9,-74.825,270.0,top
C4,126.9,-74.825,270.0,top
C5,136.4,-74.825,270.0,top
C6,146.4,-74.825,270.0,top
J1,97.0,-66.55,0.0,top
J10,127.0,-115.5,0.0,top
J11,137.0,-115.5,0.0,top
J12,147.0,-115.5,0.0,top
J13,165.95,-107.0,90.0,top
J2,127.0,-66.55,0.0,top
J3,107.0,-66.55,0.0,top
J4,137.0,-66.55,0.0,top
J5,117.0,-66.55,0.0,top
J6,147.0,-66.55,0.0,top
J7,97.0,-115.5,0.0,top
J8,107.0,-115.5,0.0,top
J9,117.0,-115.5,0.0,top
