Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C3, C8",0805,4,0.1U,
"C10, C11, C14, C15",0603,4,10N,
"C13, C2, C5, C6, C7",1206,5,10U,
C4,0805,1,10N,
C9,0805,1,100n,
D1,0805,1,YELLOW,XL-1608UBC-04
D2,0805,1,BLUE,XL-1608UBC-04
D3,0805,1,ORANGE,XL-1608UBC-04
D4,0805,1,YELLOW,NCD0603R1
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J10, J13, J14, J20, J21, J22, J23, J24, J7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,10,Conn_01x02_Male,
"J11, J12, J15, J8, J9",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02_Male,
"J16, J17",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Male,
"J18, J4",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04_Male,
J19,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
"J2, J5",JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,2,Conn_01x06_Male,
"J3, J6",JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,2,Conn_01x05_Pin,
"Q1, Q2, Q3, Q4",TSOT-23,4,2N3055,
"R1, R4",0603,2,430R,
"R10, R11, R12, R13, R7, R9",0603,6,10K,
R14,0603,1,700R,
"R15, R16",0603,2,1K,
"R17, R18, R8",0603,3,4.7K,
"R19, R2",0603,2,100R,
R20,0603,1,300R,
R3,0603,1,1000R,
"R5, R6",0603,2,4K7,
SW1,Button Aliexpress 4x4,1,SW_Push,
U1,ESP32-WROOM-32UE,1,ESP32-WROOM-32,
U2,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RL,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TCA9517DR,
U4,SOT-23-6,1,TMP100,
