Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0805,2,22N C0G,
"C10, C2",CP_Radial_D5.0mm_P2.00mm,2,1U C0G,
"C11, C5, C7, C9",CP_Radial_D6.3mm_P2.50mm,4,22U,
"C12, C4",1206,2,0.1U C0G,
"C3, C6",CP_Radial_D6.3mm_P2.50mm,2,100U 16V,
"CF1, CF4, CF5, CF7",1206,4,10u,
"CF2, CF3, CF6, CF8",0805,4,0.1u,
D1,0805,1,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J4, J6, J7",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,3,Conn_01x03_Male,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"R1, R11",0805,2,2.7K,
"R10, R20",0805,2,2K2,
"R12, R2",0805,2,180K,
"R13, R3",0805,2,10K,
"R14, R4",0805,2,2K7,
"R15, R16, R5, R6",0805,4,100K,
"R17, R7",0805,2,4.7K,
"R18, R8",0805,2,750R,
"R19, R9",0805,2,47K,
RA1,0603,1,5.1K,
RA2,0603,1,20R,
"RV1, RV2",Potentiometer_Bourns_3296W_Vertical,2,50K,
"TP1, TP2, TP3, TP4",TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,4,TestPoint,
"U1, U2",DIP-8_W7.62mm_Socket,2,OPA2134,
