Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,4.7U X7R 50V,
"C3, C4",CP_Radial_D6.3mm_P2.50mm,2,22U 50V,
"C5, C6",CP_Radial_D12.5mm_P5.00mm,2,1000U 50V,
CF1,1206,1,680p 50V C0G,
CF2,1206,1,47P 50V C0G,
CI1,CP_Radial_D12.5mm_P5.00mm,1,470U,
CIN1,C_Radial_D6.3mm_H5.0mm_P2.50mm,1,22u NICHICON MUSE ES 25V,
CIN2,1206,1,0.1u C0G 50V,
CM1,CP_Radial_D6.3mm_P2.50mm,1,47U 50V,
CSN1,C_Rect_L18.0mm_W7.0mm_P15.00mm_FKS3_FKP3,1,220N PP 100V,
D1,0603,1,BLUE,
D2,0603,1,YELLOW,
"H1, H2, H3, H4",M3 Slot,4,MountingHole,
"J1, J12, J2, J8",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,4,Conn_01x02_Male,
"J11, J3",JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,2,Conn_01x03_Male,
"J4, J5",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"J6, J9",JST_VH_B2P-VH_1x02_P3.96mm_Vertical,2,Conn_01x02_Male,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
L1,500nH Inductor Aliexpress Air Gap,1,500nH,
R1,1206,1,15R,
R2,1206,1,750R,
"R3, R4",0603,2,16K,
RB1,1206,1,1.0K,
"RF1, RF2, RIN1",1206,3,20k,
RM1,1206,1,39K,
RSN1,4020,1,10R,
RSN2,2512,1,4R7 2W,
U1,TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.85mm_Vertical,1,LM3886,
