Designator,Mid X,Mid Y,Rotation,Layer
C1,79.8,-96.95,180.0,top
C2,85.8,-96.95,0.0,top
C3,79.8,-102.95,0.0,top
C4,86.982379,-102.95,0.0,top
C5,83.3,-114.126041,90.0,top
C6,96.8,-114.126041,90.0,top
CF1,81.03,-71.276232,0.0,top
CF2,91.45,-80.98,90.0,top
CI1,102.4,-70.55,0.0,top
CIN1,86.6,-57.35,180.0,top
CIN2,90.2,-51.35,180.0,top
CM1,89.8,-67.76762,90.0,top
CSN1,111.3,-91.55,180.0,top
D1,126.755,-79.995,270.0,top
D2,126.755,-93.175,90.0,top
H1,81.7,-39.95,0.0,top
H2,125.8,-39.95,0.0,top
H3,81.7,-129.95,0.0,top
H4,125.8,-129.95,0.0,top
J1,92.9,-40.4,180.0,top
J11,126.25,-118.7675,270.0,top
J12,92.9,-129.6,180.0,top
J2,100.8,-129.6,180.0,top
J3,126.25,-52.525,270.0,top
J4,97.8,-47.775,180.0,top
J5,97.3,-60.04,180.0,top
J6,126.25,-64.2075,270.0,top
J7,118.6,-74.55,0.0,top
J8,100.8,-40.4,180.0,top
J9,126.25,-106.7475,270.0,top
L1,111.3,-57.95,315.0,top
R1,126.6,-70.55,180.0,top
R2,94.3,-80.95,270.0,top
R3,126.715,-83.6625,270.0,top
R4,126.8,-89.65,90.0,top
RB1,81.0,-66.95,180.0,top
RF1,88.6,-80.95,90.0,top
RF2,89.85,-86.05,0.0,top
RIN1,86.1,-46.05,180.0,top
RM1,90.0,-74.75,180.0,top
RSN1,114.8,-83.55,180.0,top
RSN2,102.6,-83.95,180.0,top
U1,80.545,-84.15,90.0,top
