Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5",CP_Radial_D30.0mm_P10.00mm_SnapIn,4,15000U,
"C3, C6",CP_Radial_D18.0mm_P7.50mm,2,3300u 50V,
"C7, C8",0805,2,0.1u,
C9,1206,1,10u,
"D1, D2",0603,2,YELLOW,
"D3, D4",0603,2,BLUE,
"F1, F2",Aliexpress Fuse 5x20,2,Fuse_Small,
"H1, H2, H3, H4",MountingHole_3mm_Pad_TopOnly,4,MountingHole,
J1,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02_Male,
"J2, J4, J5, J6",JST_VH_B3P-VH_1x03_P3.96mm_Vertical,4,Conn_01x03_Male,
"J3, J7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,
J8,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
"R1, R3, R4, R5",0603,4,16K,
"R2, R6",2512,2,1.5K 2W,
"U1, U2",TSSOP-16_4.4x5mm_P0.65mm,2,INA260,
