Designator,Mid X,Mid Y,Rotation,Layer
C1,171.0,-61.482065,90.0,top
C2,202.0,-61.482065,90.0,top
C3,227.87778,-77.1,0.0,top
C4,171.5,-92.477065,90.0,top
C5,202.5,-92.499999,90.0,top
C6,227.87778,-97.8,0.0,top
C7,164.6,-111.1,0.0,top
C8,160.0,-120.525,90.0,top
C9,171.3,-111.1,0.0,top
D1,196.6125,-111.3,0.0,top
D2,232.7,-121.9375,90.0,top
D3,235.2,-121.9375,90.0,top
D4,196.5675,-126.38,0.0,top
F1,192.45,-118.375,180.0,top
F2,192.5,-133.205,180.0,top
J1,148.5,-57.7425,90.0,top
J2,233.85,-58.4625,90.0,top
J3,146.25,-68.0,90.0,top
J4,148.55,-88.295,90.0,top
J5,148.55,-102.1825,90.0,top
J6,148.55,-120.7625,90.0,top
J7,158.5,-136.0,0.0,top
J8,167.0,-136.0,0.0,top
R1,200.5,-111.3,180.0,top
R2,210.2,-120.75,270.0,top
R3,232.7,-126.0375,270.0,top
R4,235.2,-126.0375,270.0,top
R5,200.45,-126.38,180.0,top
R6,210.2,-131.1,270.0,top
U1,167.1375,-116.1,90.0,top
U2,167.1375,-127.4625,90.0,top
