Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3, C8",CP_Radial_D6.3mm_P2.50mm,4,22U,
"C11, C4",0805,2,22N C0G,
"C12, C5",C_Rect_L7.2mm_W11.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,1U WIMA 63VDC,
"C2, C9",1206,2,0.1U C0G,
"C6, C7",CP_Radial_D6.3mm_P2.50mm,2,100U 16V,
"CF1, CF3, CF5, CF7",0805,4,0.1u,
"CF2, CF4, CF6, CF8",1206,4,10u,
D1,0603,1,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad_TopOnly,4,MountingHole,
"J1, J2, J5, J6",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,4,Conn_01x03_Male,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
"R1, R10",0805,2,2K2,
"R11, R2",0805,2,47K,
"R12, R3",0805,2,4.7K,
"R13, R17, R4, R8",0805,4,100K,
"R14, R5",0805,2,750R,
"R15, R6",0805,2,2K7,
"R16, R7",0805,2,10K,
"R18, R9",0805,2,180K,
RA1,0603,1,20R,
RA2,0603,1,10K,
"RV1, RV2",Potentiometer_Bourns_3296W_Vertical,2,25K,
"TP1, TP2, TP3, TP4",TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,4,TestPoint,
"U1, U2",DIP-8_W7.62mm_Socket,2,OPA2134,
