Designator,Mid X,Mid Y,Rotation,Layer
C1,150.607779,-88.0735,0.0,top
C10,144.069979,-119.9748,0.0,top
C11,156.2,-124.1674,270.0,top
C12,183.2,-126.9299,90.0,top
C2,177.7193,-92.72,270.0,top
C3,144.069979,-93.0124,0.0,top
C4,156.45,-97.52,270.0,top
C5,183.2,-100.55,90.0,top
C6,212.082379,-105.7,0.0,top
C7,212.082379,-113.6,0.0,top
C8,150.607779,-114.7748,0.0,top
C9,177.585,-119.7999,270.0,top
CF1,158.97,-87.55,90.0,top
CF2,161.37,-88.1474,90.0,top
CF3,171.8924,-98.9474,90.0,top
CF4,174.5312,-99.5474,90.0,top
CF5,158.3385,-114.2924,90.0,top
CF6,160.6385,-114.8924,90.0,top
CF7,171.2424,-125.7299,90.0,top
CF8,173.82,-126.3299,90.0,top
D1,134.36,-112.3,270.0,top
J1,190.6,-83.45,180.0,top
J2,202.1,-83.45,180.0,top
J3,212.6,-92.7,180.0,top
J4,194.375,-117.1,270.0,top
J5,134.55,-123.6,90.0,top
J6,213.45,-123.6,90.0,top
R1,165.07,-83.7124,180.0,top
R10,164.97,-110.5748,0.0,top
R11,172.07,-110.5748,0.0,top
R12,160.82,-119.6924,270.0,top
R13,180.1,-120.4299,270.0,top
R14,175.07,-121.3924,90.0,top
R15,158.525,-124.1374,90.0,top
R16,160.82,-124.1374,270.0,top
R17,167.82,-124.7299,0.0,top
R18,167.82,-127.0299,0.0,top
R2,172.07,-83.7124,0.0,top
R3,161.57,-93.2124,270.0,top
R4,180.2,-93.35,270.0,top
R5,175.2386,-94.5849,90.0,top
R6,159.025,-97.49,270.0,top
R7,161.57,-97.49,270.0,top
R8,168.5536,-98.0174,180.0,top
R9,168.57,-100.45,0.0,top
RA1,212.375,-98.8,0.0,top
RA2,134.32,-115.8,270.0,top
RV1,151.4,-99.35,90.0,top
RV2,151.6,-127.3624,90.0,top
U1,168.37,-91.0849,270.0,top
U2,168.37,-117.8924,270.0,top
