Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C3, C4, C5, C6, C8, C9",CP_Radial_D5.0mm_P2.50mm,20,10U,
C10,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,100N C0G,
"C11, C14",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,10U,
C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1U,
C7,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,47N C0G,
D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J10, J11, J12, J13, J14, J16, J17, J18, J2, J3, J4, J5, J6, J7, J8, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,17,Conn_01x02_Male,
J15,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,CTO,
"R1, R10, R11, R12, R13, R16, R17, R19, R2, R20, R22, R24, R26, R27, R28, R29, R3, R4, R5, R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,20,100K,
"R7, R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,24K,
R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,1K,
U1,SOIC-28W_7.5x18.7mm_P1.27mm,1,AX2358,
