Designator,Mid X,Mid Y,Rotation,Layer
C1,149.5,-80.9,-90.0,top
C10,149.1,-110.1,180.0,top
C11,134.5,-106.5,180.0,top
C12,131.3,-101.7,180.0,top
C13,123.5,-74.0,-90.0,top
C14,131.2625,-104.0,180.0,top
C15,123.5,-80.9,-90.0,top
C16,156.0,-74.0,-90.0,top
C17,156.0,-101.6,-90.0,top
C18,156.0,-80.889888,-90.0,top
C19,123.5,-87.8,-90.0,top
C2,143.0,-80.9,-90.0,top
C20,156.0,-87.8,-90.0,top
C21,156.0,-108.5,-90.0,top
C22,156.0,-94.689888,-90.0,top
C23,123.5,-94.7,-90.0,top
C24,123.5,-101.6,-90.0,top
C25,123.5,-108.5,-90.0,top
C3,149.5,-74.0,-90.0,top
C4,143.0,-74.0,-90.0,top
C5,130.0,-74.0,-90.0,top
C6,130.0,-80.9,-90.0,top
C7,144.0,-107.8,180.0,top
C8,136.5,-80.9,-90.0,top
C9,136.5,-74.0,-90.0,top
D1,148.1,-116.35,0.0,top
J1,155.6,-65.35,0.0,top
J10,164.0,-102.0,90.0,top
J11,164.0,-81.0,90.0,top
J12,114.95,-88.0,90.0,top
J13,164.0,-88.0,90.0,top
J14,164.0,-109.0,90.0,top
J15,164.0,-95.0,90.0,top
J16,114.95,-95.0,90.0,top
J17,114.95,-102.0,90.0,top
J18,114.95,-109.0,90.0,top
J2,144.4,-65.35,0.0,top
J3,122.0,-65.2,0.0,top
J4,133.2,-65.25,0.0,top
J5,130.0,-115.65,180.0,top
J6,114.95,-74.0,90.0,top
J7,138.1,-115.6,180.0,top
J8,114.95,-81.0,90.0,top
J9,164.0,-74.0,90.0,top
R1,155.0,-69.8,180.0,top
R10,137.571426,-69.8,180.0,top
R11,133.214284,-69.8,180.0,top
R12,119.5,-71.0,-90.0,top
R13,119.5,-78.5,-90.0,top
R16,160.5,-71.5,-90.0,top
R17,160.5,-99.5,-90.0,top
R19,160.5,-78.5,-90.0,top
R2,150.642852,-69.8,180.0,top
R20,119.5,-85.5,-90.0,top
R22,160.5,-85.5,-90.0,top
R24,160.5,-106.5,-90.0,top
R26,160.5,-92.5,-90.0,top
R27,119.5,-92.5,-90.0,top
R28,119.5,-99.5,-90.0,top
R29,119.5,-106.5,-90.0,top
R3,146.28571,-69.8,180.0,top
R4,141.928568,-69.8,180.0,top
R5,128.857142,-69.8,0.0,top
R6,124.5,-69.8,0.0,top
R7,148.5,-107.6,180.0,top
R8,144.6,-110.3,180.0,top
R9,144.4,-116.35,0.0,top
U1,140.0,-95.5,0.0,top
