Designator,Mid X,Mid Y,Rotation,Layer
CA1,155.9,-104.1,180.0,top
CA2,139.0625,-104.1,180.0,top
CA3,155.9,-106.6,180.0,top
CA4,139.0625,-106.6,180.0,top
CA5,173.0,-104.1,180.0,top
CA6,173.03,-106.6,180.0,top
CB1,161.0,-106.6,0.0,top
CB2,144.1625,-106.6,0.0,top
CB3,161.0,-104.1,0.0,top
CB4,144.1625,-104.1,0.0,top
CB5,178.13,-106.6,0.0,top
CB6,178.13,-104.1,0.0,top
CF1,166.5625,-119.9375,90.0,top
CF10,182.8625,-109.3,-90.0,top
CF11,167.5625,-109.9,-90.0,top
CF12,151.7625,-120.5375,90.0,top
CF2,168.8625,-120.5375,90.0,top
CF3,132.7625,-120.5375,90.0,top
CF4,148.219156,-109.9,-90.0,top
CF5,185.0625,-109.9,-90.0,top
CF6,149.4625,-119.9375,90.0,top
CF7,134.9625,-119.9375,90.0,top
CF8,150.4625,-109.3,-90.0,top
CF9,165.2625,-109.3,-90.0,top
D1,183.9,-93.4,-90.0,top
J10,161.4,-132.15,0.0,top
J11,140.4,-132.15,0.0,top
J12,147.4,-132.15,0.0,top
J13,168.4,-132.15,0.0,top
J14,175.4,-132.15,0.0,top
J2,142.4,-84.1,180.0,top
J3,149.4,-84.1,180.0,top
J4,133.8,-96.7,90.0,top
J5,177.4,-84.1,180.0,top
J6,170.4,-84.1,180.0,top
J7,163.4,-84.1,180.0,top
J8,156.4,-84.1,180.0,top
J9,154.4,-132.15,0.0,top
RA1,156.1125,-125.6,180.0,top
RA2,156.1125,-123.2,0.0,top
RA3,138.9625,-125.6,180.0,top
RA4,138.9625,-123.2,0.0,top
RA5,173.1125,-125.6,180.0,top
RA6,173.1125,-123.2,180.0,top
RA7,183.96,-96.995,-90.0,top
RB1,161.2125,-123.2,0.0,top
RB2,161.2125,-125.6,180.0,top
RB3,144.0625,-123.2,180.0,top
RB4,144.0625,-125.6,180.0,top
RB5,178.2125,-123.2,0.0,top
RB6,178.2125,-125.6,180.0,top
U1,154.7,-111.0,0.0,top
U2,137.6,-111.0,0.0,top
U3,171.8,-111.0,0.0,top
