Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C9",CP_Radial_D5.0mm_P2.00mm,4,22U C0G,
"C11, C12",CP_Radial_D6.3mm_P2.50mm,2,100U 16V,
"C3, C4",CP_Radial_D5.0mm_P2.00mm,2,1U C0G,
"C5, C7",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,0.1U C0G,
"C6, C8",CP_Radial_D5.0mm_P2.00mm,2,22U,
"CF1, CF3, CF4, CF7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,0.1u,
"CF2, CF5, CF6, CF8",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4,10u,
D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03_Male,
"J3, J6",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Male,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
"R1, R10, R2, R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,4K7,
"R11, R13",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,750R,
"R12, R14, R15, R16",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,100K,
"R17, R18",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,2K7,
"R19, R20",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,2.7K,
"R3, R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,180K,
"R5, R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,2K2,
"R7, R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,47K,
RA1,R_0603_1608Metric,1,5.1K,
"RV1, RV2",Potentiometer_Bourns_3296W_Vertical,2,50K,
"TP1, TP2, TP3, TP4",TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,4,TestPoint,
"U1, U2",DIP-8_W7.62mm_Socket,2,OPA2134,
