Designator,Mid X,Mid Y,Rotation,Layer
C1,205.3,-106.4,90.0,top
C2,173.8,-106.400001,90.0,top
C3,191.1,-118.2,180.0,bottom
C4,224.9,-121.3,180.0,top
C5,204.8,-75.382066,90.0,top
C6,173.8,-75.382066,90.0,top
C7,219.5,-124.4,0.0,top
D1,209.2,-136.425,-90.0,top
D10,217.825,-121.3,0.0,top
D11,227.0,-99.4,90.0,top
D2,209.7,-134.7,90.0,bottom
D3,146.3,-56.8,0.0,top
D4,185.4,-137.5,0.0,top
D5,150.6,-136.9,-90.0,top
D6,146.275,-59.5,0.0,top
D7,173.7,-137.5,180.0,top
D8,150.0,-135.0,90.0,bottom
D9,192.0,-123.9,-90.0,bottom
F1,204.16,-136.4,180.0,top
F2,155.34,-133.4,0.0,top
J1,149.2,-119.8625,-90.0,top
J10,220.185907,-128.425511,-90.0,top
J11,223.05,-89.2375,90.0,top
J12,225.05,-109.9,90.0,top
J14,224.2,-115.1,90.0,top
J15,226.2,-126.5,-90.0,top
J2,159.35,-119.8625,-90.0,top
J3,139.2,-105.6625,-90.0,top
J4,149.15,-105.6625,-90.0,top
J5,139.075,-74.806666,-90.0,top
J6,139.25,-119.8625,-90.0,top
J7,137.075,-97.5,-90.0,top
J8,136.95,-89.0,-90.0,top
J9,139.075,-65.2125,-90.0,top
Q1,202.2,-127.6,180.0,bottom
R1,216.1,-136.1,-90.0,bottom
R10,177.575,-137.545,0.0,top
R11,142.375,-59.5,180.0,top
R12,146.770627,-135.917861,-90.0,bottom
R13,189.4,-65.382066,180.0,bottom
R14,170.9,-133.0,0.0,top
R16,201.1,-122.2,-90.0,bottom
R17,214.025,-121.3,180.0,top
R18,227.0,-103.3,-90.0,top
R2,212.9,-135.5,90.0,bottom
R3,189.2625,-106.382066,180.0,bottom
R4,188.9,-133.0,180.0,top
R5,200.4,-103.0,90.0,bottom
R6,181.5,-137.545,180.0,top
R7,142.4,-56.8,180.0,top
R8,143.5,-136.6,-90.0,bottom
R9,200.7,-68.6,90.0,bottom
RL1,195.8375,-120.1125,180.0,top
U1,187.3,-123.9,-90.0,bottom
