Designator,Footprint,Quantity,Value,LCSC Part #
"ANAL1, DIG1, DIG2, DIG4, DIG5",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,5,Conn_01x02_Male,
"ANAL2, ANAL3, ANAL4, ANAL5, J2",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,5,Conn_01x03_Male,
"C1, C2",CP_Radial_D6.3mm_P2.50mm,2,47U,
"C3, C6",CP_Radial_D8.0mm_P5.00mm,2,47U,
"C4, C5, C7, C8, C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,5,10u,
D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,BLUE,
D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,GREEN,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Male,
PS1,HLK-10M05 10W 5V DC,1,HLK-10M05,
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,30R,
R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,70R,
U1,SOT-223,1,AZ1117-3.3,
