Designator,Mid X,Mid Y,Rotation,Layer
ANAL1,132.6,-79.1,0.0,top
ANAL2,146.45,-72.6,-90.0,top
ANAL3,140.7,-72.6,-90.0,top
ANAL4,153.4,-72.6,-90.0,top
ANAL5,159.15,-72.6,-90.0,top
C1,133.6,-97.117621,-90.0,top
C2,134.85,-91.1,180.0,top
C3,177.202651,-74.8,180.0,top
C4,161.1,-82.4,180.0,bottom
C5,151.7,-82.4,180.0,bottom
C6,163.597349,-74.8,0.0,top
C7,153.5,-94.1,0.0,bottom
C8,147.2,-106.3,180.0,bottom
C9,163.4,-106.3,180.0,bottom
D1,132.8,-86.0,180.0,top
D2,132.8,-83.8,180.0,top
DIG1,134.6,-105.8,180.0,top
DIG2,166.0,-112.5,90.0,top
DIG4,160.3,-112.5,90.0,top
DIG5,153.55,-112.5,90.0,top
J1,175.75,-112.025,180.0,top
J2,142.5,-112.65,180.0,top
PS1,157.4,-93.7,180.0,top
R1,140.2,-88.1,0.0,bottom
R2,140.2,-92.8,180.0,bottom
U1,153.5,-101.1,-90.0,bottom
