Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19, C2, C20, C22, C23, C24, C3, C4",CP_Radial_D5.0mm_P2.00mm,10,100uf,
"C10, C11, C12, C13, C14, C21, C25, C29, C30, C31, C32, C33, C34, C5, C6, C7, C8, C9",1206,18,10u,
"C15, C16, C17, C26, C27, C28",CP_Radial_D16.0mm_P7.50mm,6,4700u,
D1,0805,1,YELLOW,
"D2, D3",0805,2,BLUE,
D4,0805,1,WHITE,
"D5, D6",Diode_Bridge_Vishay_GBU,2,GBU4A,
D7,D_SMA,1,1N4001,
"F1, F2",Aliexpress Fuse 5x20,2,Fuse,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J20, J4, J5, J6",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,5,Conn_01x03_Pin,
"J10, J11, J12, J16",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
"J13, J14, J15, J9",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,
"J17, J2, J3",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x02_Pin,
"J18, J19, J7, J8",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,4,Conn_01x02_Pin,
"J21, J22, J23",JST_VH_B2P-VH_1x02_P3.96mm_Vertical,3,Conn_01x02_Pin,
K1,Relay_DPDT_Omron_G2RL-2,1,Relay_DPDT,
Q1,SOT-23_Handsoldering,1,2SC1945,
"R1, R10, R11, R7, R8",0603,5,1K,
"R12, R15",0603,2,750R,
"R13, R14, R3, R5",0603,4,120R,
R16,0603,1,3.5K,
"R17, R18",0603,2,6.7K,
R19,0603,1,5.5K,
"R2, R4",0603,2,360R,
"R6, R9",0603,2,670R,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U2, U3",SOT-223-3_TabPin2,2,LDL1117,
U4,SOT-223-3_TabPin2,1,AMS1117-5.0,
U5,SOT-223-3_TabPin2,1,LM337_SOT223,
U6,SOT-223-3_TabPin2,1,LM317_SOT-223,
"U7, U8",TO-220-3_Vertical,2,LM1084,
