Designator,Mid X,Mid Y,Rotation,Layer
C1,96.2,-37.0,0.0,top
C10,87.05,-46.6125,90.0,top
C11,87.05,-52.0,270.0,top
C12,47.787478,-45.620604,0.0,top
C13,81.7,-55.5,90.0,top
C14,86.55,-58.025,0.0,top
C15,47.8375,-48.75,0.0,top
C16,83.8375,-60.375,180.0,top
C17,93.3,-60.069888,270.0,top
C18,47.8375,-52.0,0.0,top
C19,66.3,-63.25,0.0,top
C2,61.05,-34.15,270.0,top
C20,78.85,-62.6375,270.0,top
C21,46.7875,-63.5,90.0,top
C22,48.8375,-63.5,270.0,top
C23,81.05,-64.25,270.0,top
C24,66.85,-75.25,270.0,top
C26,43.05,-60.25,0.0,top
C27,42.45,-62.55,0.0,top
C28,48.3,-72.75,90.0,top
C3,67.55,-34.15,270.0,top
C4,80.55,-40.5,180.0,top
C5,69.05,-44.1875,90.0,top
C6,77.15,-47.0,270.0,top
C7,80.15,-47.0,270.0,top
C8,82.4,-47.75,90.0,top
C9,71.3,-46.525,90.0,top
D1,77.125,-25.8,0.0,top
D2,77.125,-27.9,0.0,top
D3,77.125,-30.0,0.0,top
J1,45.9,-26.4,0.0,top
J10,70.1375,-68.8,90.0,top
J11,78.96,-77.55,90.0,top
J12,58.2,-27.95,180.0,top
J2,67.4,-27.95,180.0,top
J3,93.05,-28.275,180.0,top
J4,41.05,-35.75,270.0,top
J5,89.94,-40.4,270.0,top
J6,100.8,-51.975,0.0,top
J7,40.8,-46.25,90.0,top
J8,100.8,-61.025,180.0,top
J9,40.8,-55.0,90.0,top
R1,63.55,-34.12,270.0,top
R10,59.15,-76.75,180.0,top
R11,75.2,-74.25,180.0,top
R2,70.05,-34.12,270.0,top
R3,47.8,-66.25,0.0,top
R4,46.4,-71.45,90.0,top
R5,80.8,-25.765,0.0,bottom
R6,80.8,-27.8825,0.0,bottom
R7,80.8,-30.0,0.0,bottom
R8,70.1225,-65.3,180.0,bottom
R9,55.55,-76.75,180.0,top
U1,90.3,-49.25,90.0,top
U2,74.975,-55.3875,270.0,top
U3,56.4,-62.575,0.0,top
X1,55.8,-47.0,0.0,top
