Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6, C7",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4,10U,
"C10, C11, C12, C13, C14, C15, C8, C9",CP_Radial_D5.0mm_P2.00mm,8,10U,
"C2, C3, C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,100N,
"D1, D2",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J11, J12, J15, J2, J3, J4, J5, J6, J7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,10,Conn_01x02_Male,
"J10, J9",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04_Male,
J13,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J14,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
J8,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Male,
R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,430R,
R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,1K,
R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,4.7K,
U1,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_Mask2.4x6.17mm_ThermalVias,1,PCM1681,
