Designator,Mid X,Mid Y,Rotation,Layer
C1,184.6,-58.6,270.0,top
C10,166.95,-86.539888,270.0,top
C11,173.6,-86.539888,270.0,top
C12,180.25,-86.539888,270.0,top
C13,186.9,-86.539888,270.0,top
C14,193.55,-86.539888,270.0,top
C15,200.2,-86.539888,270.0,top
C2,182.3,-59.2,270.0,top
C3,167.855113,-72.75,180.0,top
C4,176.2625,-76.475,180.0,top
C5,186.5,-79.4,270.0,top
C6,189.0,-79.4,90.0,top
C7,184.3,-79.2,270.0,top
C8,176.2625,-78.725,180.0,top
C9,167.855113,-80.25,180.0,top
D1,160.1,-56.2,270.0,top
D2,162.2,-56.2,270.0,top
J1,174.5,-47.4,180.0,top
J10,166.35,-96.0,90.0,top
J11,173.0,-96.0,90.0,top
J12,179.65,-96.0,90.0,top
J13,186.3,-96.0,90.0,top
J14,192.95,-96.0,90.0,top
J15,199.6,-96.0,90.0,top
J2,181.833333,-47.4,180.0,top
J3,193.166666,-47.4,180.0,top
J4,202.5,-47.4,180.0,top
J5,208.1,-56.3,90.0,top
J6,170.5,-65.7,0.0,top
J7,159.4,-72.35,0.0,top
J8,159.4,-79.85,0.0,top
J9,209.8,-86.8,180.0,top
R1,160.1,-59.8,90.0,top
R2,162.2,-59.8,90.0,top
R3,192.3,-63.7,180.0,top
U1,184.3,-68.05,270.0,top
