Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",1206,6,2.2n,
"C10, C11, C12, C13, C20, C21, C22, C23, C31, C33, C37, C38, C39, C41, C7, C8, C9",1206,17,10u,
"C14, C15, C16, C17, C18, C19, C27, C28, C29, C34, C35, C36",0805,12,0.1u,
"C24, C25, C26, C30, C32, C40",1206,6,2.2u,
D1,0805,1,YELLOW,
D2,0805,1,BLUE,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J10, J11, J12, J4, J6, J7, J8, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,9,Conn_01x02_Male,
J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Male,
J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Male,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
R1,0603,1,1K,
R2,0603,1,430R,
"R3, R4, R5, R6, R7, R8",1206,6,470R,
"U1, U2, U3",TSSOP-28_4.4x9.7mm_P0.65mm,3,PCM5122PW,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
