Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6, C8",1206,4,10U,
"C10, C11, C12, C13, C14, C15, C3, C9",CP_Radial_D5.0mm_P2.00mm,8,10U,
"C2, C4, C7",0805,3,100N,
"D1, D2",0805,2,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J3",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04_Male,
"J10, J11, J12, J13, J14, J15, J2, J5, J7, J8",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,10,Conn_01x02_Male,
J4,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Male,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
J9,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
R1,0603,1,1K,
R2,0603,1,430R,
R3,0603,1,4.7K,
U1,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_Mask2.4x6.17mm_ThermalVias,1,PCM1681,
