Designator,Mid X,Mid Y,Rotation,Layer
C1,76.75,-69.1,90.0,top
C10,54.8,-38.55,270.0,bottom
C11,49.3,-38.55,90.0,bottom
C12,75.3,-38.55,90.0,bottom
C13,79.8,-38.55,270.0,bottom
C14,77.55,-40.8,90.0,bottom
C15,64.55,-40.8,90.0,bottom
C16,52.55,-40.8,90.0,bottom
C17,47.05,-40.8,270.0,bottom
C18,60.05,-40.8,270.0,bottom
C19,73.05,-40.8,270.0,bottom
C2,43.55,-69.1,90.0,top
C20,38.55,-47.75,180.0,bottom
C21,70.8,-53.5,0.0,bottom
C22,56.6125,-53.5,0.0,bottom
C23,85.3,-54.0,0.0,bottom
C24,79.7125,-55.3,0.0,bottom
C25,65.55,-55.3,0.0,bottom
C26,51.3125,-55.3,0.0,bottom
C27,75.45,-54.55,90.0,bottom
C28,61.25,-54.55,270.0,bottom
C29,46.95,-54.55,90.0,bottom
C3,50.19,-69.1,90.0,top
C30,65.55,-59.3,90.0,bottom
C31,61.25,-59.3,270.0,bottom
C32,51.05,-59.3,90.0,bottom
C33,46.95,-59.3,270.0,bottom
C34,84.05,-57.4,270.0,bottom
C35,69.55,-57.4,90.0,bottom
C36,55.3,-57.25,270.0,bottom
C37,71.8,-58.0,270.0,bottom
C38,57.55,-57.85,270.0,bottom
C39,86.3,-58.0,270.0,bottom
C4,56.83,-69.1,90.0,top
C40,79.55,-59.3,90.0,bottom
C41,75.45,-59.3,270.0,bottom
C5,63.47,-69.1,90.0,top
C6,70.11,-69.1,90.0,top
C7,38.55,-33.75,180.0,bottom
C8,66.8,-38.55,270.0,bottom
C9,62.3,-38.55,90.0,bottom
D1,40.65,-37.7125,270.0,top
D2,38.45,-37.7125,270.0,top
J1,51.8,-28.15,180.0,top
J10,71.2,-77.4,90.0,top
J11,77.85,-77.4,90.0,top
J2,64.05,-28.15,180.0,top
J3,73.383334,-28.15,180.0,top
J4,86.8,-38.4,90.0,top
J5,88.05,-68.2,180.0,top
J6,44.6,-77.4,90.0,top
J7,51.25,-77.4,90.0,top
J8,57.9,-77.4,90.0,top
J9,64.55,-77.4,90.0,top
R1,38.45,-41.3125,90.0,top
R2,40.55,-41.3125,90.0,top
R3,53.51,-69.07,90.0,top
R4,60.15,-69.07,90.0,top
R5,66.79,-69.07,90.0,top
R6,73.43,-69.07,90.0,top
R7,80.07,-69.07,90.0,top
R8,46.87,-69.07,90.0,top
U1,52.05,-47.6,90.0,top
U2,65.6,-47.6,90.0,top
U3,79.15,-47.7,90.0,top
U4,38.8,-40.65,270.0,bottom
