Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D8.0mm_P2.50mm,1, 330u 16V,
"C10, C11",1206,2,1u,
"C12, C15, C18",0805,3,0.01u,
"C13, C6",1206,2,2.2u,
"C14, C23, C24, C26, C5, C8",1206,6,10u,
"C16, C19, C20, C27, C7, C9",0805,6,0.1u,
"C17, C4",CP_Radial_D5.0mm_P2.50mm,2,100u 16V,
"C2, C3",1206,2,2.2n,
C21,0805,1,22n,
C22,0805,1,1n,
C28,0805,1,1u,
D1,0805,1,BLUE,
"D2, D3",0805,2,YELLOW,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
"J10, J11, J14, J5, J6, J8",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02_Pin,
J12,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
J13,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
"J7, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Male,
"R1, R2",1206,2,470R,
"R10, R11, R8, R9",0603,4,4.7K,
R3,0603,1,3K,
R4,0603,1,100k,
R5,0603,1,1K,
"R6, R7",0603,2,430R,
U1,TSOT-23-5,1,NCV8161,
U2,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCM5122PW,
U3,SOIC-28W_7.5x17.9mm_P1.27mm,1,CS8416-xZZ,
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-xxxMHz,
