Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C2, C22, C30, C32, C33, C34, C35",1206,10,10U,
"C10, C13, C20, C23, C24, C25, C26, C27, C28, C29, C5, C6, C7",0603,13,0.1U,
"C11, C15",0805,2,5.6N,
"C12, C16",0805,2,470P,
"C14, C21, C31",0805,3,10U,
C19,0603,1,10N,
"C3, C4",0805,2,100N,
C8,0805,1,4.7N,
C9,0805,1,150P,
"D1, D3, D4",0805,3,YELLOW,
D2,0805,1,ORANGE,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
J10,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J11, J6, J9",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,3,Conn_01x04_Male,
"J12, J13, J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02_Male,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,
"J5, J7, J8",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,3,Conn_01x03_Male,
"R1, R10, R11, R12, R2, R24, R25, R3, R30, R31, R5, R8, R9",0603,13,4.7K,
R13,0603,1,330R,
"R14, R16, R33",0603,3,1K,
"R15, R17, R18, R19, R20, R21, R26",0805,7,47R,
"R22, R23, R6, R7",0603,4,10K,
"R27, R32",0805,2,22R,
R28,0603,1,430R,
"R29, R34",0603,2,160R,
R4,0603,1,75R,
U1,LQFP-80_14x14mm_P0.65mm,1,SPA130,
"U2, U3",SOT-223,2,AMS1117-2.5,
X1,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm_HandSoldering,1,TXC-7C,
