Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",1206,6,2.2n C0G,
"C10, C12, C14, C15, C16, C17, C18, C29, C35, C36, C37, C38, C39, C44, C45, C50, C67, C70, C71, C72, C73, C74, C75, C76, C8, C9",1206,26,10u,
"C11, C13, C25, C26, C27, C7",1206,6,2.2u,
"C19, C20, C21, C22, C23, C24, C28, C30, C31, C32, C33, C34",0805,12,0.1u,
"C40, C41, C42, C43, C46, C47, C48, C49, C51, C52, C53, C54, C55, C60",0603,14,0.1U,
"C56, C59",0805,2,470P,
C57,0805,1,150P,
"C58, C63",0805,2,100N,
"C61, C64",0805,2,5.6N,
C62,0805,1,4.7N,
C65,0805,1,10U,
C66,0603,1,100N,
"C68, C69",CP_Radial_D6.3mm_P2.50mm,2,C_Polarized,
"D1, D2, D4",0805,3,YELLOW,
D3,0805,1,ORANGE,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2, J3",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,3,Conn_01x04_Pin,
"J10, J8",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04_Male,
J11,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
J12,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
"J4, J5, J6, J7, J9",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02,
"R1, R2, R3, R4, R5, R6",1206,6,470R,
"R10, R11, R12, R13, R7, R8, R9",0805,7,47R,
"R14, R15, R17, R19, R20, R21",0603,6,4.7K,
"R16, R18",0603,2,10K,
"R22, R25, R29",0603,3,1K,
R23,0603,1,430R,
"R24, R28",0603,2,160R,
R26,0603,1,330R,
R27,0603,1,75R,
"U1, U2, U3",TSSOP-28_4.4x9.7mm_P0.65mm,3,PCM5122PW,
U4,LQFP-80_14x14mm_P0.65mm,1,SPA130,
"U5, U6",SOT-223,2,AMS1117-2.5,
U7,SOT-223,1,AMS1117-3.3,
X1,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm_HandSoldering,1,TXC-7C,
