Designator,Mid X,Mid Y,Rotation,Layer
C1,122.2625,-56.7,180.0,top
C10,132.39375,-63.98125,0.0,top
C11,132.552641,-70.812108,0.0,top
C12,129.075,-91.35,180.0,top
C13,132.775,-85.986029,0.0,top
C14,132.690141,-78.912108,0.0,top
C15,133.0125,-94.05,0.0,top
C16,130.45625,-53.58125,180.0,top
C17,130.752641,-68.392169,180.0,top
C18,131.075,-83.586029,180.0,top
C19,132.99375,-61.55,0.0,top
C2,122.2625,-62.794544,180.0,top
C20,133.290141,-76.612108,0.0,top
C21,133.6125,-91.35,0.0,top
C22,135.05625,-53.41125,180.0,top
C23,135.352641,-68.292169,180.0,top
C24,135.675,-83.416029,180.0,top
C25,139.55625,-53.58125,180.0,top
C26,139.890141,-68.480858,180.0,top
C27,140.575,-83.454779,180.0,top
C28,147.25625,-58.98125,0.0,top
C29,150.15625,-61.28125,180.0,top
C3,122.2625,-68.889088,180.0,top
C30,147.21875,-56.709664,180.0,top
C31,147.452641,-69.812108,180.0,top
C32,147.515141,-72.012108,0.0,top
C33,148.116502,-86.427145,0.0,top
C34,148.1375,-84.109891,180.0,top
C35,147.75625,-54.38125,0.0,top
C36,148.052641,-67.512108,0.0,top
C37,148.775,-81.786029,0.0,top
C38,149.752641,-74.212108,180.0,top
C39,150.516502,-88.927145,180.0,top
C4,122.2625,-74.983632,180.0,top
C40,163.775,-69.725,180.0,top
C41,163.675,-65.025,180.0,top
C42,163.775,-73.325,180.0,top
C43,165.175,-51.2875,90.0,top
C44,166.875,-82.025,270.0,top
C45,167.975,-56.2,90.0,top
C46,171.289285,-80.9,270.0,top
C47,171.775,-56.825,90.0,top
C48,175.189285,-80.9,270.0,top
C49,176.175,-56.825,90.0,top
C5,122.2625,-81.078176,180.0,top
C50,172.975,-86.0,180.0,top
C51,179.089285,-80.9,270.0,top
C52,179.6,-56.9,90.0,top
C53,186.9625,-56.7,0.0,top
C54,186.9625,-58.4,0.0,top
C55,186.9625,-60.2,0.0,top
C56,189.675,-74.325,0.0,top
C57,189.675,-78.036111,0.0,top
C58,189.675,-81.747222,180.0,top
C59,189.8125,-68.325,0.0,top
C6,122.2625,-87.172728,180.0,top
C60,187.875,-71.225,0.0,top
C61,194.0125,-74.325,0.0,top
C62,194.0125,-78.036111,0.0,top
C63,194.0125,-81.747222,180.0,top
C64,194.15,-68.325,0.0,top
C65,193.875,-71.425,0.0,top
C66,196.1,-63.9,90.0,top
C67,203.1,-50.8,90.0,top
C68,205.9,-82.31762,270.0,top
C69,205.9,-74.2,270.0,top
C7,132.15625,-55.98125,0.0,top
C70,206.9,-50.8,90.0,top
C71,200.0,-93.3,270.0,bottom
C72,199.912774,-88.0,90.0,bottom
C73,182.7,-88.0625,90.0,bottom
C74,182.7,-93.4,270.0,bottom
C75,166.0,-88.0,90.0,bottom
C76,166.0,-93.4,90.0,bottom
C8,128.752641,-76.412108,180.0,top
C9,128.45625,-61.48125,180.0,top
D1,190.15,-89.875,270.0,top
D2,193.25,-89.875,270.0,top
D3,196.2,-89.875,270.0,top
D4,199.5,-89.875,270.0,top
J1,130.0,-44.8,180.0,top
J10,194.7,-43.8,0.0,top
J11,206.2,-59.3,90.0,top
J12,207.7,-64.025,0.0,top
J2,141.8,-44.8,180.0,top
J3,153.4,-44.8,180.0,top
J4,158.26,-83.4,90.0,top
J5,158.26,-87.1,90.0,top
J6,159.1,-46.14,180.0,top
J7,173.625,-44.4,90.0,top
J8,182.6,-43.65,0.0,top
J9,194.3,-56.54,180.0,top
R1,122.2325,-53.652728,180.0,top
R10,157.3,-70.850001,180.0,top
R11,157.3,-74.033334,180.0,top
R12,157.3,-77.216667,180.0,top
R13,157.3,-80.4,180.0,top
R14,171.5125,-49.2,0.0,top
R15,171.5125,-50.8,0.0,top
R16,177.37143,-80.9,270.0,top
R17,179.675,-50.125,270.0,top
R18,180.8,-80.9,270.0,top
R19,181.375,-50.1375,270.0,top
R2,122.2325,-59.747272,180.0,top
R20,184.0,-80.8875,270.0,top
R21,185.689285,-80.9,90.0,top
R22,190.2,-93.65,90.0,top
R23,193.2,-93.65,90.0,top
R24,196.2,-93.65,90.0,top
R25,198.1375,-74.280556,0.0,top
R26,198.1375,-78.013889,0.0,top
R27,198.1375,-81.747222,180.0,top
R28,199.5,-93.65,90.0,top
R29,198.275,-68.258334,0.0,top
R3,122.2325,-65.841816,180.0,top
R4,122.2325,-71.93636,180.0,top
R5,122.2325,-78.030904,180.0,top
R6,122.2325,-84.125448,180.0,top
R7,157.3,-61.3,180.0,top
R8,157.3,-64.483333,180.0,top
R9,157.3,-67.666666,180.0,top
U1,139.89375,-90.054779,0.0,top
U2,139.89375,-60.25,0.0,top
U3,139.89375,-75.152389,0.0,top
U4,175.5,-69.6,90.0,top
U5,193.587226,-92.2,0.0,bottom
U6,176.693613,-92.2,0.0,bottom
U7,159.8,-92.2,0.0,bottom
X1,191.5625,-63.9,180.0,top
