Designator,Mid X,Mid Y,Rotation,Layer
C1,120.4,-88.344888,270.0,top
C10,144.555772,-108.3,180.0,top
C11,156.555772,-108.3,180.0,top
C12,120.355772,-108.3,180.0,top
C13,169.75,-118.589775,90.0,top
C14,105.6,-119.875,90.0,top
C15,133.0,-116.25,270.0,top
C16,157.125,-116.25,270.0,top
C17,181.25,-116.25,270.0,top
C18,121.5,-125.0,270.0,top
C19,144.919887,-125.0,270.0,top
C2,132.155772,-88.344888,270.0,top
C20,168.9,-124.9,270.0,top
C21,115.6,-127.4375,270.0,top
C22,121.25,-133.589775,90.0,top
C23,144.75,-131.67955,270.0,top
C24,168.9,-131.6,270.0,top
C25,115.7,-134.9375,90.0,top
C26,133.0,-141.25,90.0,top
C27,157.125,-133.75,270.0,top
C28,181.25,-133.75,270.0,top
C29,169.75,-140.25,90.0,top
C3,144.4,-88.344888,270.0,top
C30,105.7,-142.625,90.0,top
C31,145.95714,-154.22,270.0,top
C32,110.25,-154.22,270.0,top
C33,126.172856,-154.22,270.0,top
C34,130.034284,-154.22,270.0,top
C4,156.254162,-88.344888,270.0,top
C5,144.255772,-95.7,180.0,top
C6,156.355772,-95.7,180.0,top
C7,120.3,-95.7,180.0,top
C8,132.155772,-95.7,180.0,top
C9,132.255772,-108.3,180.0,top
D1,195.9,-74.6,0.0,top
D2,195.9,-76.9,0.0,top
D3,108.8,-79.425,90.0,top
D4,106.3,-79.425,90.0,top
D5,167.618568,-154.85,180.0,top
D6,191.78,-154.85,180.0,top
D7,192.8,-102.8,90.0,bottom
F1,174.6,-87.425,0.0,top
F2,174.7,-102.3,0.0,top
J1,113.9,-69.1,0.0,top
J10,125.975,-76.0,90.0,top
J11,135.058333,-76.0,90.0,top
J12,156.215,-75.975,90.0,top
J13,165.975,-76.0,90.0,top
J14,175.85,-76.0,90.0,top
J15,185.69,-76.0,90.0,top
J16,146.325,-76.025,90.0,top
J17,107.995238,-88.025,180.0,top
J18,104.995238,-95.35,0.0,top
J19,105.0,-102.75,0.0,top
J2,126.0,-69.75,0.0,top
J20,104.995238,-110.15,0.0,top
J21,198.0,-116.8,270.0,top
J22,198.0,-128.65,270.0,top
J23,198.0,-140.5,270.0,top
J3,135.083333,-69.75,0.0,top
J4,166.5,-69.1,0.0,top
J5,176.375,-69.1,0.0,top
J6,186.215,-69.1,0.0,top
J7,146.6,-69.15,0.0,top
J8,156.25,-69.2,0.0,top
J9,113.535,-76.0,90.0,top
K1,198.9375,-109.8,180.0,top
Q1,198.05,-103.8,90.0,bottom
R1,111.295238,-96.95,270.0,top
R10,198.05,-99.55,0.0,bottom
R11,114.75,-113.5,0.0,bottom
R12,109.95,-128.1,90.0,bottom
R13,105.8,-128.1,90.0,bottom
R14,110.0,-135.1,90.0,bottom
R15,105.85,-135.1,90.0,bottom
R16,145.4125,-138.4,180.0,top
R17,145.8,-146.2,90.0,top
R18,121.9,-119.5,90.0,top
R19,185.1,-134.9125,90.0,bottom
R2,116.1625,-149.0,0.0,top
R3,119.9125,-149.0,0.0,top
R4,135.825,-149.0,0.0,top
R5,139.575,-149.0,0.0,top
R6,108.1,-74.1875,90.0,bottom
R7,104.5,-73.8,180.0,bottom
R8,200.5,-77.3,180.0,bottom
R9,200.6,-80.3,180.0,bottom
U1,120.355772,-102.15,90.0,top
U2,144.392952,-102.15,90.0,top
U3,156.411544,-102.15,90.0,top
U4,132.374362,-102.15,90.0,top
U5,112.6,-119.625,180.0,top
U6,112.7,-142.4375,180.0,top
U7,120.751428,-153.3,180.0,top
U8,140.535712,-153.3,180.0,top
