Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C21, C22",CP_Radial_D6.3mm_P2.50mm,4,470u,
"C10, C11, C12, C13, C14, C15, C16, C9",CP_Radial_D5.0mm_P2.00mm,8,10u,
"C17, C24, C26, C27, C30, C4, C6, C8",0805,8,0.1U,
"C18, C23, C25, C28, C29, C3, C5, C7",1206,8,10U,
C19,0805,1,47n C0G,
C20,1206,1,120n C0G,
"D1, D10, D2, D3, D4",D_SMA,5,1N4001,
"D5, D7",0805,2,YELLOW,
"D6, D8",0805,2,BLUE,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2, J3, J4",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,4,Conn_01x03_Pin,
"J10, J14",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J11, J8",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Male,
J12,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J13,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
"J19, J5, J6, J7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,4,Conn_01x02_Pin,
J9,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Male,
"K1, K3, K4, K7",KEMET EA2,4,EC2-5NU,
K2,KEMET EA2,1,KEMET ,
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,BC859,
R1,0603,1,430R,
R10,0603,1,100K,
"R11, R17, R18, R19, R20, R21, R22, R23, R24, R8, R9",0603,11,50K,
R12,0603,1,22k,
R13,0603,1,10k,
"R14, R25, R26, R27, R28, R29, R30, R31",0603,8,4.7K,
R15,0603,1,1.25k,
"R16, R3, R4, R5, R6, R7",0603,6,1k,
R2,0603,1,670R,
T1,DA101C,1,Transformer_Audio,
U1,TSSOP-16_4.4x5mm_P0.65mm,1,DS1882E,
"U2, U4",DIP-8_W7.62mm_Socket,2,OPA2134,
U3,TSSOP-16_4.4x5mm_P0.65mm,1,TCA9554PW,
